"pred_type","pred_comm_name","pred_species","ocean","region","area","reference","prey_species","prey_comm_name","n_data","years","season","year1","month1","month_name1","year2","month2","month_name2","method_length","method_diet","comment","n_samples","pred_stage1","pred_stage2","prey_mm_min","prey_mm_max","prey_mm_range","prey_mm_med","prey_mm_avg","prey_mm_sd","prop_diet_by_wt","prop_diet_by_wt_type","prop_diet_by_n","prop_diet_by_energy","prop_diet_by_occur","prop_diet_by_occur_sd","prop_diet_by_index"
"sea birds","Heermann gull","Larus heermanni","NE Pacific","California","Monterrey Bay","Baltz and Morejohn 1977","Engraulis mordax","Northern anchovy","NO","1974-1975","Sep-Apr",1974,9,"Sep",1975,4,"Apr",NA,"stomach sampling",NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.9,NA,46.7,NA,NA
"sea birds","California brown pelican","Pelecanus occidentalis californicus","NE Pacific","California","Sta Barbara Island","Sunada et al. 1981","Engraulis mordax","Northern anchovy","YES","1980","Apr",1980,4,"Apr",1980,4,"Apr","otolith length_standard length regressions","regurgitation",NA,113,NA,NA,84,135,"84-135",NA,110.5,NA,NA,NA,NA,NA,NA,NA,NA
"sea birds","California brown pelican","Pelecanus occidentalis californicus","NE Pacific","California","Anacapa Island","Sunada et al. 1981","Engraulis mordax","Northern anchovy","YES","1980","Jun",1980,6,"Jun",1980,6,"Jun",NA,"regurgitation",NA,172,NA,NA,84,135,"84-135",NA,103,NA,NA,NA,NA,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Engraulis mordax","Northern anchovy","YES","1993-2013",NA,1993,NA,NA,2013,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Engraulis mordax","Northern anchovy","YES","1993",NA,1993,NA,NA,1993,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.26,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Engraulis mordax","Northern anchovy","YES","1994",NA,1994,NA,NA,1994,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.78,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Engraulis mordax","Northern anchovy","YES","1995",NA,1995,NA,NA,1995,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.05,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Engraulis mordax","Northern anchovy","YES","1996",NA,1996,NA,NA,1996,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.47,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Engraulis mordax","Northern anchovy","YES","1997",NA,1997,NA,NA,1997,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.8,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Engraulis mordax","Northern anchovy","YES","1998",NA,1998,NA,NA,1998,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.94,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Engraulis mordax","Northern anchovy","YES","1999",NA,1999,NA,NA,1999,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.41,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Engraulis mordax","Northern anchovy","YES","2000",NA,2000,NA,NA,2000,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.53,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Engraulis mordax","Northern anchovy","YES","2001",NA,2001,NA,NA,2001,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Engraulis mordax","Northern anchovy","YES","2002",NA,2002,NA,NA,2002,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.71,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Engraulis mordax","Northern anchovy","YES","2004",NA,2004,NA,NA,2004,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.29,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Engraulis mordax","Northern anchovy","YES","2007",NA,2007,NA,NA,2007,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.09,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Engraulis mordax","Northern anchovy","YES","2008",NA,2008,NA,NA,2008,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.08,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Engraulis mordax","Northern anchovy","YES","2009",NA,2009,NA,NA,2009,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.38,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Engraulis mordax","Northern anchovy","YES","2010",NA,2010,NA,NA,2010,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.78,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Engraulis mordax","Northern anchovy","YES","2011",NA,2011,NA,NA,2011,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.71,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Engraulis mordax","Northern anchovy","YES","2012",NA,2012,NA,NA,2012,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.43,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Engraulis mordax","Northern anchovy","YES","2013",NA,2013,NA,NA,2013,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.47,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","San Diego Bay","Schaffner 1986","Engraulis mordax","Northern anchovy","YES","1980",NA,1980,NA,NA,1980,NA,NA,"standard length","collection of fishes in nesting site",NA,NA,NA,NA,NA,NA,NA,NA,41,15,NA,NA,NA,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","San Diego Bay","Schaffner 1986","Engraulis mordax","Northern anchovy","YES","1981",NA,1981,NA,NA,1981,NA,NA,"standard length","collection of fishes in nesting site",NA,NA,NA,NA,NA,NA,NA,NA,109,4.4,NA,NA,NA,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","San Diego Bay","Schaffner 1986","Engraulis mordax","Northern anchovy","YES","1980",NA,1980,NA,NA,1980,NA,NA,"otolith length_standard length regressions","chick regurgitation",NA,NA,"chick","chicks",NA,NA,NA,NA,102,7.8,NA,NA,59,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","San Diego Bay","Schaffner 1986","Engraulis mordax","Northern anchovy","YES","1981",NA,1981,NA,NA,1981,NA,NA,"otolith length_standard length regressions","chick regurgitation",NA,NA,"chick","chicks",NA,NA,NA,NA,113,9.1,NA,NA,87,NA,NA,NA,NA
"sea birds","Brandt cormorant","Phalacrocorax penicillatus","NE Pacific","California","Farallon Island","Elliot et al. 2015","Engraulis mordax","Northern anchovy","YES","1994-2012",NA,1994,NA,NA,2012,NA,NA,"otolith length_standard length regressions","regurgitated pellets",NA,154,NA,NA,40,102,"40-102",NA,79,NA,NA,NA,NA,NA,NA,NA,NA
"sea birds","Brandt cormorant","Phalacrocorax penicillatus","NE Pacific","California","Farallon Island","Elliot et al. 2015","Engraulis mordax","Northern anchovy","YES","1973",NA,1973,NA,NA,1973,NA,NA,NA,"regurgitated pellets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
"sea birds","Brandt cormorant","Phalacrocorax penicillatus","NE Pacific","California","Farallon Island","Elliot et al. 2015","Engraulis mordax","Northern anchovy","YES","1974",NA,1974,NA,NA,1974,NA,NA,NA,"regurgitated pellets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"sea birds","Brandt cormorant","Phalacrocorax penicillatus","NE Pacific","California","Farallon Island","Elliot et al. 2015","Engraulis mordax","Northern anchovy","YES","1975",NA,1975,NA,NA,1975,NA,NA,NA,"regurgitated pellets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"sea birds","Brandt cormorant","Phalacrocorax penicillatus","NE Pacific","California","Farallon Island","Elliot et al. 2015","Engraulis mordax","Northern anchovy","YES","1976",NA,1976,NA,NA,1976,NA,NA,NA,"regurgitated pellets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA
"sea birds","Brandt cormorant","Phalacrocorax penicillatus","NE Pacific","California","Farallon Island","Elliot et al. 2015","Engraulis mordax","Northern anchovy","YES","1977",NA,1977,NA,NA,1977,NA,NA,NA,"regurgitated pellets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"sea birds","Brandt cormorant","Phalacrocorax penicillatus","NE Pacific","California","Farallon Island","Elliot et al. 2015","Engraulis mordax","Northern anchovy","YES","1993",NA,1993,NA,NA,1993,NA,NA,NA,"regurgitated pellets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA
"sea birds","Brandt cormorant","Phalacrocorax penicillatus","NE Pacific","California","Farallon Island","Elliot et al. 2015","Engraulis mordax","Northern anchovy","YES","1994",NA,1994,NA,NA,1994,NA,NA,NA,"regurgitated pellets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,NA
"sea birds","Brandt cormorant","Phalacrocorax penicillatus","NE Pacific","California","Farallon Island","Elliot et al. 2015","Engraulis mordax","Northern anchovy","YES","2003",NA,2003,NA,NA,2003,NA,NA,NA,"regurgitated pellets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"sea birds","Brandt cormorant","Phalacrocorax penicillatus","NE Pacific","California","Farallon Island","Elliot et al. 2015","Engraulis mordax","Northern anchovy","YES","2004",NA,2004,NA,NA,2004,NA,NA,NA,"regurgitated pellets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"sea birds","Brandt cormorant","Phalacrocorax penicillatus","NE Pacific","California","Farallon Island","Elliot et al. 2015","Engraulis mordax","Northern anchovy","YES","2005",NA,2005,NA,NA,2005,NA,NA,NA,"regurgitated pellets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA,NA,NA,NA
"sea birds","Brandt cormorant","Phalacrocorax penicillatus","NE Pacific","California","Farallon Island","Elliot et al. 2015","Engraulis mordax","Northern anchovy","YES","2006",NA,2006,NA,NA,2006,NA,NA,NA,"regurgitated pellets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA
"sea birds","Brandt cormorant","Phalacrocorax penicillatus","NE Pacific","California","Farallon Island","Elliot et al. 2015","Engraulis mordax","Northern anchovy","YES","2007",NA,2007,NA,NA,2007,NA,NA,NA,"regurgitated pellets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA
"sea birds","Brandt cormorant","Phalacrocorax penicillatus","NE Pacific","California","Farallon Island","Elliot et al. 2015","Engraulis mordax","Northern anchovy","YES","2008",NA,2008,NA,NA,2008,NA,NA,NA,"regurgitated pellets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA
"sea birds","Brandt cormorant","Phalacrocorax penicillatus","NE Pacific","California","Farallon Island","Elliot et al. 2015","Engraulis mordax","Northern anchovy","YES","2009",NA,2009,NA,NA,2009,NA,NA,NA,"regurgitated pellets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"sea birds","Brandt cormorant","Phalacrocorax penicillatus","NE Pacific","California","Farallon Island","Elliot et al. 2015","Engraulis mordax","Northern anchovy","YES","2010",NA,2010,NA,NA,2010,NA,NA,NA,"regurgitated pellets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"sea birds","Brandt cormorant","Phalacrocorax penicillatus","NE Pacific","California","Farallon Island","Elliot et al. 2015","Engraulis mordax","Northern anchovy","YES","2011",NA,2011,NA,NA,2011,NA,NA,NA,"regurgitated pellets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"sea birds","Brandt cormorant","Phalacrocorax penicillatus","NE Pacific","California","Farallon Island","Elliot et al. 2015","Engraulis mordax","Northern anchovy","YES","2012",NA,2012,NA,NA,2012,NA,NA,NA,"regurgitated pellets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"sea birds","Brandt cormorant","Phalacrocorax penicillatus","NE Pacific","California","Point Arguello","Elliot et al. 2015","Engraulis mordax","Northern anchovy","YES","2006-2012",NA,2006,NA,NA,2012,NA,NA,"otolith length_standard length regressions","regurgitated pellets",NA,317,NA,NA,25,107,"25-107",NA,67,NA,NA,NA,NA,NA,NA,NA,NA
"sea birds","Brandt cormorant","Phalacrocorax penicillatus","NE Pacific","California","Point Arguello","Elliot et al. 2015","Engraulis mordax","Northern anchovy","YES","2006",NA,2006,NA,NA,2006,NA,NA,NA,"regurgitated pellets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA
"sea birds","Brandt cormorant","Phalacrocorax penicillatus","NE Pacific","California","Point Arguello","Elliot et al. 2015","Engraulis mordax","Northern anchovy","YES","2007",NA,2007,NA,NA,2007,NA,NA,NA,"regurgitated pellets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,NA,NA
"sea birds","Brandt cormorant","Phalacrocorax penicillatus","NE Pacific","California","Point Arguello","Elliot et al. 2015","Engraulis mordax","Northern anchovy","YES","2008",NA,2008,NA,NA,2008,NA,NA,NA,"regurgitated pellets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA
"sea birds","Brandt cormorant","Phalacrocorax penicillatus","NE Pacific","California","Point Arguello","Elliot et al. 2015","Engraulis mordax","Northern anchovy","YES","2009",NA,2009,NA,NA,2009,NA,NA,NA,"regurgitated pellets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
"sea birds","Brandt cormorant","Phalacrocorax penicillatus","NE Pacific","California","Point Arguello","Elliot et al. 2015","Engraulis mordax","Northern anchovy","YES","2010",NA,2010,NA,NA,2010,NA,NA,NA,"regurgitated pellets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA
"sea birds","Brandt cormorant","Phalacrocorax penicillatus","NE Pacific","California","Point Arguello","Elliot et al. 2015","Engraulis mordax","Northern anchovy","YES","2011",NA,2011,NA,NA,2011,NA,NA,NA,"regurgitated pellets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"sea birds","Brandt cormorant","Phalacrocorax penicillatus","NE Pacific","California","Point Arguello","Elliot et al. 2015","Engraulis mordax","Northern anchovy","YES","2012",NA,2012,NA,NA,2012,NA,NA,NA,"regurgitated pellets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"sea birds","Brandt cormorant","Phalacrocorax penicillatus","NE Pacific","California","Monterrey Bay","Webb 2013","Engraulis mordax","Northern anchovy","YES","2006-2008","Sep-Mar",2006,9,"Sep",2008,3,"Mar","otolith length_standard length regressions","pellets sampling",NA,49,NA,NA,80,92,"80-92",NA,86,6,NA,NA,NA,NA,NA,NA,NA
"sea birds","Brandt cormorant","Phalacrocorax penicillatus","NE Pacific","California","Monterrey Bay","Webb 2013","Engraulis mordax","Northern anchovy","YES","2006-2007","Sep-Mar",2006,9,"Sep",2007,3,"Mar",NA,"pellets sampling","authors found difference in iet within and outcoast the Bay",67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.7,NA,89.6,NA,NA
"sea birds","Brandt cormorant","Phalacrocorax penicillatus","NE Pacific","California","Monterrey Bay","Webb 2013","Engraulis mordax","Northern anchovy","YES","2007-2008","Sep-Mar",2007,9,"Sep",2008,3,"Mar",NA,"pellets sampling","authors found difference in iet within and outcoast the Bay",162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.7,NA,69,NA,NA
"sea birds","Brandt cormorant","Phalacrocorax penicillatus","NE Pacific","California","Monterrey Bay","Baltz and Morejohn 1977","Engraulis mordax","Northern anchovy","YES","1974-1975","Sep-Apr",1974,9,"Sep",1975,4,"Apr",NA,"stomach sampling",NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.4,NA,16.7,NA,NA
"bony fishes","Pacific hake","Merluccius productus","NE Pacific","CA/OR/WA","Cape Blanco","Buckley et al. 1999","Engraulis mordax","Northern anchovy","YES","1989-1992",NA,1989,NA,NA,1992,NA,NA,NA,"stomach sampling",NA,NA,NA,"stlength290-690mm",43,160,"43-160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bony fishes","Pacific hake","Merluccius productus","NE Pacific","OR/WA","OR/WA","Brodeur et al. 1987","Engraulis mordax","Northern anchovy","YES","1982","May-Sep",1982,5,"May",1982,9,"Sep",NA,"stomach sampling",NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.4,NA,16.4,NA,NA
"bony fishes","Pacific hake","Merluccius productus","NE Pacific","OR/WA","OR/WA","Brodeur et al. 1987","Engraulis mordax","Northern anchovy","YES","1983","May-Sep",1983,5,"May",1983,9,"Sep",NA,"stomach sampling",NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,NA,10,NA,NA
"bony fishes","Black rockfish","Sebastes melanops","NE Pacific","OR/WA","OR/WA","Brodeur et al. 1987","Engraulis mordax","Northern anchovy","YES","1983","May-Sep",1983,5,"May",1983,9,"Sep",NA,"stomach sampling",NA,20,NA,NA,NA,NA,NA,NA,NA,NA,41.9,NA,0.6,NA,10.5,NA,NA
"bony fishes","Jack mackerel","Trachurus symmetricus","NE Pacific","US West Coast","California","Mason and Bishop 2001","Engraulis mordax","Northern anchovy","YES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jack mackerel juveniles feed almost exclusively
on juvenile squid and anchovies",NA,"juvenile","juveniles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bony fishes","Jack mackerel","Trachurus symmetricus","NE Pacific","OR/WA","OR/WA","Brodeur et al. 1987","Engraulis mordax","Northern anchovy","YES","1982","May-Sep",1982,5,"May",1982,9,"Sep",NA,"stomach sampling",NA,25,NA,NA,NA,NA,NA,NA,NA,NA,70.6,NA,56,NA,35,NA,NA
"bony fishes","Jack mackerel","Trachurus symmetricus","NE Pacific","OR/WA","OR/WA","Brodeur et al. 1987","Engraulis mordax","Northern anchovy","YES","1983","May-Sep",1983,5,"May",1983,9,"Sep",NA,"stomach sampling",NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,2.6,NA,NA
"bony fishes","Jack mackerel","Trachurus symmetricus","NE Pacific","OR/WA","Columbia River","Emmett and Krutzikowsky 2008","Engraulis mordax","Northern anchovy","YES","2000",NA,2000,NA,NA,2000,NA,NA,NA,"stomach sampling",NA,NA,NA,"stlength300-580mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA
"bony fishes","Jack mackerel","Trachurus symmetricus","NE Pacific","OR/WA","Columbia River","Emmett and Krutzikowsky 2008","Engraulis mordax","Northern anchovy","YES","2003",NA,2003,NA,NA,2003,NA,NA,NA,"stomach sampling",NA,NA,NA,"stlength250-600mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA
"bony fishes","Jack mackerel","Trachurus symmetricus","NE Pacific","OR/WA","Columbia River","Emmett and Krutzikowsky 2008","Engraulis mordax","Northern anchovy","YES","2004",NA,2004,NA,NA,2004,NA,NA,NA,"stomach sampling",NA,NA,NA,"stlength230-580mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA
"bony fishes","Pacific saury","Cololabis saira","NE Pacific","OR/WA","OR/WA","Brodeur et al. 1987","Engraulis mordax","Northern anchovy","YES","1984","Jun-Sep",1984,6,"Jun",1984,9,"Sep",NA,"stomach sampling",NA,29,NA,NA,NA,NA,NA,NA,NA,NA,4.6,NA,5.9,NA,7.4,NA,NA
"bony fishes","Cutthroat trout","Oncorhynchus clarkii","NE Pacific","OR/WA","OR/WA","Brodeur et al. 1987","Engraulis mordax","Northern anchovy","YES","1981","May-Aug",1981,5,"May",1981,8,"Aug",NA,"stomach sampling",NA,32,NA,NA,NA,NA,NA,NA,NA,NA,69.9,NA,27.8,NA,53.6,NA,NA
"bony fishes","Cutthroat trout","Oncorhynchus clarkii","NE Pacific","OR/WA","OR/WA","Brodeur et al. 1987","Engraulis mordax","Northern anchovy","YES","1982-1984","May-Sep",1982,5,"May",1984,9,"Sep",NA,"stomach sampling",NA,16,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,2.1,NA,13.3,NA,NA
"cartilaginous fishes","Blue shark","Prionace glauca","NE Pacific","OR/WA","OR/WA","Brodeur et al. 1987","Engraulis mordax","Northern anchovy","YES","1981-1984","May-Sep",1981,5,"May",1984,9,"Sep",NA,"stomach sampling",NA,14,NA,NA,NA,NA,NA,NA,NA,NA,10.4,NA,44.4,NA,16.7,NA,NA
"cartilaginous fishes","Blue shark","Prionace glauca","NE Pacific","Mexico","Baja California","Markaida and Sosa 2010","Engraulis mordax","Northern anchovy","YES","1995-1997","Apr-May",1995,4,"Apr",1997,5,"May","otolith length_standard length regressions","stomach sampling",NA,893,NA,NA,111,NA,"111-",NA,NA,NA,0.67,NA,0.91,NA,1.79,NA,NA
"cartilaginous fishes","Blue shark","Prionace glauca","NE Pacific","Mexico","Baja California","Markaida and Sosa 2010","Engraulis mordax","Northern anchovy","YES","1996","Mar",1996,3,"Mar",1996,3,"Mar",NA,"stomach sampling",NA,19,NA,NA,NA,NA,NA,NA,NA,NA,10.3,NA,3.6,NA,NA,NA,NA
"cartilaginous fishes","Blue shark","Prionace glauca","NE Pacific","Mexico","Baja California","Markaida and Sosa 2010","Engraulis mordax","Northern anchovy","YES","1996","Mar",1996,3,"Mar",1996,3,"Mar",NA,"stomach sampling",NA,65,NA,"totallengthmean115.1cm_sd20.2cm",NA,NA,NA,NA,NA,NA,11.5,NA,2,NA,NA,NA,NA
"cartilaginous fishes","Blue shark","Prionace glauca","NE Pacific","Mexico","Baja California","Markaida and Sosa 2010","Engraulis mordax","Northern anchovy","YES","1996","May",1996,5,"May",1996,5,"May",NA,"stomach sampling",NA,48,NA,NA,NA,NA,NA,NA,NA,NA,8.5,NA,7,NA,NA,NA,NA
"cartilaginous fishes","Shortfin mako shark","Isurus oxyrinchus","NE Pacific","CA/OR/WA","CA/OR/WA","Preti et al. 2012","Engraulis mordax","Northern anchovy","NO","2002-2008",NA,2002,NA,NA,2008,NA,NA,NA,"stomach sampling",NA,238,NA,"totallengthrange50-250cm",NA,NA,NA,NA,NA,NA,0.1,NA,1.31,NA,2.1,NA,NA
"cartilaginous fishes","Common thresher shark","Alopias vulpinus","NE Pacific","CA/OR/WA","CA/OR/WA","Preti et al. 2012","Engraulis mordax","Northern anchovy","YES","2002-2008",NA,2002,NA,NA,2008,NA,NA,NA,"stomach sampling",NA,157,NA,"totallengthrange100-230cm",NA,NA,NA,NA,NA,NA,25.74,NA,55.16,NA,37.58,NA,NA
"cartilaginous fishes","Common thresher shark","Alopias vulpinus","NE Pacific","CA/OR","CA/OR","Preti et al. 2004","Engraulis mordax","Northern anchovy","YES","1998-1999","Aug-Jan",1998,8,"Aug",1999,1,"Jan",NA,"stomach sampling","Warm-water period",107,NA,NA,NA,NA,NA,NA,NA,NA,30.12,NA,31.87,NA,21.49,NA,NA
"cartilaginous fishes","Common thresher shark","Alopias vulpinus","NE Pacific","CA/OR","CA/OR","Preti et al. 2004","Engraulis mordax","Northern anchovy","YES","1999-2000","Jul-May",1999,7,"Jul",2000,5,"May",NA,"stomach sampling","Cool-water period",67,NA,"totallengthrange70-270cm",NA,NA,NA,NA,NA,NA,68,NA,53.09,NA,34.33,NA,NA
