"pred_stock_orig","pred_type","pred_comm_name","pred_species","area","prey_stock","prey_comm_name","prey_species","impt","impt_avg"
"Goosefish  Southern New England","bony fishes","Goosefish","Lophius americanus","Southern New England","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",1.3,1.3
"Gray seal  Nantucket Sound","pinnipeds","Grey seal","Halichoerus grypus","Nantucket Sound","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",0.1,0.1
"Gray seal  Sable Island","pinnipeds","Grey seal","Halichoerus grypus","Sable Island","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",1,1
"Gray seal  Scotian shelf","pinnipeds","Grey seal","Halichoerus grypus","Scotian shelf","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",65.8,37.4
"Gray seal Female Sable Island","pinnipeds","Grey seal","Halichoerus grypus","Sable Island","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",8.6,5.733333333
"Gray seal juvenile Sable Island","pinnipeds","Grey seal","Halichoerus grypus","Sable Island","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",0.3,0.3
"Gray seal Male Sable Island","pinnipeds","Grey seal","Halichoerus grypus","Sable Island","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",3.2,1.6
"Haddock  Georges Bank","bony fishes","Haddock","Melanogrammus aeglefinus","Georges Bank","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",1.4,1.4
"Harbor porpoise  Bay of Fundy","cetaceans","Harbor porpoise","Phocoena phocoena","Bay of Fundy","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",64,64
"Harbor porpoise  Gulf of Maine","cetaceans","Harbor porpoise","Phocoena phocoena","Gulf of Maine","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",44,44
"Harbor seal  Southern New England","pinnipeds","Western Atlantic harbor seal","Phoca vitulina","Southern New England","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",1.8,1.8
"Pollock  Georges Bank","bony fishes","Pollock","Pollachius virens","Georges Bank","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",10.5,10.5
"Pollock  Gulf of Maine","bony fishes","Pollock","Pollachius virens","Gulf of Maine","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",4.7,4.7
"Pollock  Scotian shelf","bony fishes","Pollock","Pollachius virens","Scotian shelf","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",9.1,9.1
"Porbeagle shark  FromGeorges Bank_To_Grand Banks of Newfoundland","cartilaginous fishes","Porbeagle shark","Lamna nasus","FromGeorges Bank_To_Grand Banks of Newfoundland","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",6.2,6.2
"Red hake  Georges Bank","bony fishes","Red hake","Urophycis chuss","Georges Bank","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",5.2,5.2
"Red hake  Gulf of Maine","bony fishes","Red hake","Urophycis chuss","Gulf of Maine","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",1.6,1.6
"Sea raven  Georges Bank_TO_S New England","bony fishes","Atlantic sea raven","Hemitripterus americanus","Georges Bank_TO_S New England","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",32,32
"Shortfin squid  Newfoundland","invertebrates","Northern shortfin squid","Illex illecebrosus","Newfoundland","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",3,3
"Silver hake  Georges Bank","bony fishes","Silver hake","Merluccius bilinearis","Georges Bank","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",13,9.15
"Silver hake  Gulf of Maine","bony fishes","Silver hake","Merluccius bilinearis","Gulf of Maine","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",6,6
"Silver hake  Mid-Atlantic Bight","bony fishes","Silver hake","Merluccius bilinearis","Mid-Atlantic Bight","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",0.2,0.2
"Silver hake  Scotian shelf","bony fishes","Silver hake","Merluccius bilinearis","Scotian shelf","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",21.9,16.95
"Silver hake  South New England","bony fishes","Silver hake","Merluccius bilinearis","South New England","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",0.3,0.3
"Silver hake  Southern New England","bony fishes","Silver hake","Merluccius bilinearis","Southern New England","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",8,8
"Smooth hammerhead  ","cartilaginous fishes","Smooth hammerhead shark","Sphyrna zygaena","","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",17.1,17.1
"Spiny dogfish  Georges Bank_TO_S New England","bony fishes","Spiny dogfish","Squalus acanthias","Georges Bank_TO_S New England","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",28,28
"Spiny dogfish  Georges Bank-Gulf of Maine","cartilaginous fishes","Spiny dogfish","Squalus acanthias","Georges Bank-Gulf of Maine","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",34.5,11.41162791
"Spiny dogfish  Inshore of North Cape Hatteras","cartilaginous fishes","Spiny dogfish","Squalus acanthias","Inshore of North Cape Hatteras","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",6,6
"Spiny dogfish  Southern New England","cartilaginous fishes","Spiny dogfish","Squalus acanthias","Southern New England","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",1.9,1.9
"Spotted hake  Georges Bank","bony fishes","Spotted hake","Urophycis regia","Georges Bank","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",3,3
"Striped bass  Cape Cod Bay","bony fishes","Striped bass","Morone saxatilis","Cape Cod Bay","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",0.1,0.1
"Striped bass  Chesapeake bay","bony fishes","Striped bass","Morone saxatilis","Chesapeake bay","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",34.5,18.02
"Striped bass  North Carolina Coast","bony fishes","Striped bass","Morone saxatilis","North Carolina Coast","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",7.3,5.7
"Striped bass  North Shore","bony fishes","Striped bass","Morone saxatilis","North Shore","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",5.8,5.8
"Summer flounder  Mid Atlantic Bight","bony fishes","Summer flounder","Paralichthys dentatus","Mid Atlantic Bight","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",2.8,2.8
"Summer flounder  South New England","bony fishes","Summer flounder","Paralichthys dentatus","South New England","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",8,8
"Swordfish  ","bony fishes","Swordfish","Xiphias gladius","","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",0.2,0.2
"Thorny skate  Georges Bank","cartilaginous fishes","Thorny skate","Amblyraja radiata","Georges Bank","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",6.5,6.5
"Thorny skate  Gulf of Maine","cartilaginous fishes","Thorny skate","Amblyraja radiata","Gulf of Maine","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",13,10.35
"Thorny skate  Inshore of North Cape Hatteras","cartilaginous fishes","Thorny skate","Amblyraja radiata","Inshore of North Cape Hatteras","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",57.8,57.8
"Weakfish  Mid Atlantic Bight","bony fishes","Weakfish","Cynoscion regalis","Mid Atlantic Bight","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",3.9,3.9
"Western Atlantic harbor seal   Atlantic coast","pinnipeds","Western Atlantic harbor seal","Phoca vitulina","Atlantic coast","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",36,31.025
"Western Atlantic harbor seal   Bay of Fundy","pinnipeds","Western Atlantic harbor seal","Phoca vitulina","Bay of Fundy","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",41.3,25.45
"Western Atlantic harbor seal   Gulf of Maine","pinnipeds","Western Atlantic harbor seal","Phoca vitulina","Gulf of Maine","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",6,6
"White hake  ","bony fishes","White hake","Urophycis tenuis","","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",10,7
"White hake  North West Atlantic","bony fishes","White hake","Urophycis tenuis","North West Atlantic","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",18.2,18.2
"White-sided dolphin  Gulf of Maine","cetaceans","Atlantic white-sided dolphin","Lagenorhynchus acutus","Gulf of Maine","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",19,19
"Winter skate  Georges Bank","cartilaginous fishes","Winter skate","Leucoraja ocellata","Georges Bank","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",3.2,3.2
"Winter skate  Gulf of Maine","cartilaginous fishes","Winter skate","Leucoraja ocellata","Gulf of Maine","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",3.7,3.7
"Winter skate  South New England","cartilaginous fishes","Winter skate","Leucoraja ocellata","South New England","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",3.6,3.6
"Atlantic bluefin tuna  Jeffreys Ledge","bony fishes","Atlantic bluefin tuna","Thunnus thynnus","Jeffreys Ledge","Atlantic menhaden Atlantic","Atlantic menhaden","Brevoortia tyrannus",2.3,2.3
"Atlantic bluefin tuna adult Cape Lookout","bony fishes","Atlantic bluefin tuna","Thunnus thynnus","Cape Lookout","Atlantic menhaden Atlantic","Atlantic menhaden","Brevoortia tyrannus",98.97,94.68833333
"Atlantic bottlenose dolphin  NorthCarolina","cetaceans","Atlantic bottlenose dolphin","Tursiops truncatus","NorthCarolina","Atlantic menhaden Atlantic","Atlantic menhaden","Brevoortia tyrannus",4,4
"Atlantic bottlenose dolphin  SouthCarolina_Estuarine","cetaceans","Atlantic bottlenose dolphin","Tursiops truncatus","SouthCarolina_Estuarine","Atlantic menhaden Atlantic","Atlantic menhaden","Brevoortia tyrannus",1,1
"Atlantic bottlenose dolphin  SouthCarolina_Oceanic","cetaceans","Atlantic bottlenose dolphin","Tursiops truncatus","SouthCarolina_Oceanic","Atlantic menhaden Atlantic","Atlantic menhaden","Brevoortia tyrannus",4,4
"Bluefish  Inshore of North Cape Hatteras","bony fishes","Bluefish","Pomatomus saltatrix","Inshore of North Cape Hatteras","Atlantic menhaden Atlantic","Atlantic menhaden","Brevoortia tyrannus",4.1,4.1
"Bluefish  Mid Atlantic Bight","bony fishes","Bluefish","Pomatomus saltatrix","Mid Atlantic Bight","Atlantic menhaden Atlantic","Atlantic menhaden","Brevoortia tyrannus",1.8,1.8
"Bluefish juvenile Long Island bays","bony fishes","Bluefish","Pomatomus saltatrix","Long Island bays","Atlantic menhaden Atlantic","Atlantic menhaden","Brevoortia tyrannus",31.6,31.6
"Brown pelican  Florida","sea birds","Brown pelican","Pelecanus occidentalis","Florida","Atlantic menhaden Atlantic","Atlantic menhaden","Brevoortia tyrannus",14,14
"Harbor porpoise  Bay of Fundy","cetaceans","Harbor porpoise","Phocoena phocoena","Bay of Fundy","Atlantic menhaden Atlantic","Atlantic menhaden","Brevoortia tyrannus",2,2
"Harbor porpoise  Gulf of Maine","cetaceans","Harbor porpoise","Phocoena phocoena","Gulf of Maine","Atlantic menhaden Atlantic","Atlantic menhaden","Brevoortia tyrannus",1,1
"Osprey  Chesapeake bay","sea birds","Osprey","Pandion haliaetus","Chesapeake bay","Atlantic menhaden Atlantic","Atlantic menhaden","Brevoortia tyrannus",75,75
"Osprey  Lower estuarine sites-Chesapeake bay","sea birds","Osprey","Pandion haliaetus","Lower estuarine sites-Chesapeake bay","Atlantic menhaden Atlantic","Atlantic menhaden","Brevoortia tyrannus",24.2,24.2
"Osprey  Upper etsuarine sites-Chesapeake bay","sea birds","Osprey","Pandion haliaetus","Upper etsuarine sites-Chesapeake bay","Atlantic menhaden Atlantic","Atlantic menhaden","Brevoortia tyrannus",1.5,1.5
"Sandbar shark  Gulf of Maine","cartilaginous fishes","Sandbar shark","Carcharhinus plumbeus","Gulf of Maine","Atlantic menhaden Atlantic","Atlantic menhaden","Brevoortia tyrannus",3.36,3.36
"Shortfin mako shark  North Atlantic Bight","cartilaginous fishes","Shortfin mako shark","Isurus oxyrinchus","North Atlantic Bight","Atlantic menhaden Atlantic","Atlantic menhaden","Brevoortia tyrannus",0.1,0.1
"Silky shark  ","cartilaginous fishes","Silky shark","Carcharhinus falciformis","","Atlantic menhaden Atlantic","Atlantic menhaden","Brevoortia tyrannus",16.9,16.9
"Spiny dogfish  ","cartilaginous fishes","Spiny dogfish","Squalus acanthias","","Atlantic menhaden Atlantic","Atlantic menhaden","Brevoortia tyrannus",0.1,0.1
"Spiny dogfish  FromCapeHatteras_TO_Virginia","cartilaginous fishes","Spiny dogfish","Squalus acanthias","FromCapeHatteras_TO_Virginia","Atlantic menhaden Atlantic","Atlantic menhaden","Brevoortia tyrannus",59.82,59.82
"Spiny dogfish  NorthCarolina","cartilaginous fishes","Spiny dogfish","Squalus acanthias","NorthCarolina","Atlantic menhaden Atlantic","Atlantic menhaden","Brevoortia tyrannus",31.05,31.05
"Spiny dogfish Female NorthCarolina","cartilaginous fishes","Spiny dogfish","Squalus acanthias","NorthCarolina","Atlantic menhaden Atlantic","Atlantic menhaden","Brevoortia tyrannus",1.22,1.22
"Striped bass  ","bony fishes","Striped bass","Morone saxatilis","","Atlantic menhaden Atlantic","Atlantic menhaden","Brevoortia tyrannus",68.8,68.8
"Striped bass  Chesapeake bay","bony fishes","Striped bass","Morone saxatilis","Chesapeake bay","Atlantic menhaden Atlantic","Atlantic menhaden","Brevoortia tyrannus",78.97,51.24333333
"Striped bass  North Carolina Coast","bony fishes","Striped bass","Morone saxatilis","North Carolina Coast","Atlantic menhaden Atlantic","Atlantic menhaden","Brevoortia tyrannus",94.5,58.4
"Striped bass juvenile+adult Cape Cod Bay","bony fishes","Striped bass","Morone saxatilis","Cape Cod Bay","Atlantic menhaden Atlantic","Atlantic menhaden","Brevoortia tyrannus",17.2,17.2
"Striped bass juvenile+adult Nantucket Sound","bony fishes","Striped bass","Morone saxatilis","Nantucket Sound","Atlantic menhaden Atlantic","Atlantic menhaden","Brevoortia tyrannus",5.5,5.5
"Striped bass juvenile+adult North Shore","bony fishes","Striped bass","Morone saxatilis","North Shore","Atlantic menhaden Atlantic","Atlantic menhaden","Brevoortia tyrannus",22.6,22.6
"Swordfish  ","bony fishes","Swordfish","Xiphias gladius","","Atlantic menhaden Atlantic","Atlantic menhaden","Brevoortia tyrannus",0.5,0.5
"Atlantic bluefin tuna  Cape Cod Bay","bony fishes","Atlantic bluefin tuna","Thunnus thynnus","Cape Cod Bay","Atlantic mackerel Gulf of Maine / Cape Hatteras","Atlantic mackerel","Scomber scombrus",12.7,12.7
"Atlantic bluefin tuna  Great South Channel","bony fishes","Atlantic bluefin tuna","Thunnus thynnus","Great South Channel","Atlantic mackerel Gulf of Maine / Cape Hatteras","Atlantic mackerel","Scomber scombrus",0.6,0.6
"Atlantic bluefin tuna  Jeffreys Ledge","bony fishes","Atlantic bluefin tuna","Thunnus thynnus","Jeffreys Ledge","Atlantic mackerel Gulf of Maine / Cape Hatteras","Atlantic mackerel","Scomber scombrus",2,2
"Atlantic bluefin tuna  South of Marthas Vineyards","bony fishes","Atlantic bluefin tuna","Thunnus thynnus","South of Marthas Vineyards","Atlantic mackerel Gulf of Maine / Cape Hatteras","Atlantic mackerel","Scomber scombrus",56.2,56.2
"Atlantic bluefin tuna  Stellwagen Bank","bony fishes","Atlantic bluefin tuna","Thunnus thynnus","Stellwagen Bank","Atlantic mackerel Gulf of Maine / Cape Hatteras","Atlantic mackerel","Scomber scombrus",2.6,2.6
"Atlantic cod  North West Atlantic","bony fishes","Atlantic cod","Gadus morhua","North West Atlantic","Atlantic mackerel Gulf of Maine / Cape Hatteras","Atlantic mackerel","Scomber scombrus",11.5,11.5
"Bigeye thresher shark  ","cartilaginous fishes","Bigeye thresher shark","Alopias superciliosus","","Atlantic mackerel Gulf of Maine / Cape Hatteras","Atlantic mackerel","Scomber scombrus",1.5,1.5
"Bluefish  Georges Bank","bony fishes","Bluefish","Pomatomus saltatrix","Georges Bank","Atlantic mackerel Gulf of Maine / Cape Hatteras","Atlantic mackerel","Scomber scombrus",1.6,1.6
"Bluefish  Inshore of North Cape Hatteras","bony fishes","Bluefish","Pomatomus saltatrix","Inshore of North Cape Hatteras","Atlantic mackerel Gulf of Maine / Cape Hatteras","Atlantic mackerel","Scomber scombrus",0.2,0.2
"Bluefish  Mid Atlantic Bight","bony fishes","Bluefish","Pomatomus saltatrix","Mid Atlantic Bight","Atlantic mackerel Gulf of Maine / Cape Hatteras","Atlantic mackerel","Scomber scombrus",1.7,1.7
"Bluefish adult Hatteras-Montauk","bony fishes","Bluefish","Pomatomus saltatrix","Hatteras-Montauk","Atlantic mackerel Gulf of Maine / Cape Hatteras","Atlantic mackerel","Scomber scombrus",0.9,0.9
"Common dolphin  Off New Jersey","cetaceans","Short-beaked common dolphin","Delphinus delphis","Off New Jersey","Atlantic mackerel Gulf of Maine / Cape Hatteras","Atlantic mackerel","Scomber scombrus",8.34,8.34
"Goosefish  Georges Bank","bony fishes","Goosefish","Lophius americanus","Georges Bank","Atlantic mackerel Gulf of Maine / Cape Hatteras","Atlantic mackerel","Scomber scombrus",1.3,1.3
"Goosefish  Mid Atlantic Bight","bony fishes","Goosefish","Lophius americanus","Mid Atlantic Bight","Atlantic mackerel Gulf of Maine / Cape Hatteras","Atlantic mackerel","Scomber scombrus",4.1,4.1
"Goosefish  South New England","bony fishes","Goosefish","Lophius americanus","South New England","Atlantic mackerel Gulf of Maine / Cape Hatteras","Atlantic mackerel","Scomber scombrus",4.8,4.8
"Gray seal  Nantucket Sound","pinnipeds","Grey seal","Halichoerus grypus","Nantucket Sound","Atlantic mackerel Gulf of Maine / Cape Hatteras","Atlantic mackerel","Scomber scombrus",1,1
"Gray seal  Scotian shelf","pinnipeds","Grey seal","Halichoerus grypus","Scotian shelf","Atlantic mackerel Gulf of Maine / Cape Hatteras","Atlantic mackerel","Scomber scombrus",47.4,23.9
"Haddock  Georges Bank","bony fishes","Haddock","Melanogrammus aeglefinus","Georges Bank","Atlantic mackerel Gulf of Maine / Cape Hatteras","Atlantic mackerel","Scomber scombrus",2.5,2.5
"Long-finned and Short-finnd pilot whale  Off New Jersey","cetaceans","Long-finned and short-finned pilot whales","Globicephala spp.","Off New Jersey","Atlantic mackerel Gulf of Maine / Cape Hatteras","Atlantic mackerel","Scomber scombrus",8.34,8.34
"Long-finned pilot whale  Southern New England","cetaceans","Long-finned pilot whale","Globicephala melas","Southern New England","Atlantic mackerel Gulf of Maine / Cape Hatteras","Atlantic mackerel","Scomber scombrus",17.2,17.2
"Pollock  Georges Bank","bony fishes","Pollock","Pollachius virens","Georges Bank","Atlantic mackerel Gulf of Maine / Cape Hatteras","Atlantic mackerel","Scomber scombrus",1.7,1.7
"Pollock  North West Atlantic","bony fishes","Pollock","Pollachius virens","North West Atlantic","Atlantic mackerel Gulf of Maine / Cape Hatteras","Atlantic mackerel","Scomber scombrus",9,9
"Pollock  Scotian shelf","bony fishes","Pollock","Pollachius virens","Scotian shelf","Atlantic mackerel Gulf of Maine / Cape Hatteras","Atlantic mackerel","Scomber scombrus",2,2
"Porbeagle shark  FromGeorges Bank_To_Grand Banks of Newfoundland","cartilaginous fishes","Porbeagle shark","Lamna nasus","FromGeorges Bank_To_Grand Banks of Newfoundland","Atlantic mackerel Gulf of Maine / Cape Hatteras","Atlantic mackerel","Scomber scombrus",3.11,3.11
