"stocklong","stocklong_orig","reference","year","year_orig","n","n_units","catch"
"Osprey Long Island [breeding pairs]","Osprey Breeding pairs Long Island","Bierregaard et al. 2014",1980,1980,87,"breeding pairs",NA
"Osprey Long Island [breeding pairs]","Osprey Breeding pairs Long Island","Bierregaard et al. 2014",1985,1985,129,"breeding pairs",NA
"Osprey Long Island [breeding pairs]","Osprey Breeding pairs Long Island","Bierregaard et al. 2014",1990,1990,189,"breeding pairs",NA
"Osprey Long Island [breeding pairs]","Osprey Breeding pairs Long Island","Bierregaard et al. 2014",1995,1995,256,"breeding pairs",NA
"Osprey Long Island [breeding pairs]","Osprey Breeding pairs Long Island","Bierregaard et al. 2014",2000,2000,303,"breeding pairs",NA
"Osprey Long Island [breeding pairs]","Osprey Breeding pairs Long Island","Bierregaard et al. 2014",2005,2005,325,"breeding pairs",NA
"Osprey Long Island [breeding pairs]","Osprey Breeding pairs Long Island","Bierregaard et al. 2014",2010,2010,350,"breeding pairs",NA
"Osprey Connecticut [breeding pairs]","Osprey Breeding pairs Connecticut","Bierregaard et al. 2014",1975,1975,10,"breeding pairs",NA
"Osprey Connecticut [breeding pairs]","Osprey Breeding pairs Connecticut","Bierregaard et al. 2014",1980,1980,19,"breeding pairs",NA
"Osprey Connecticut [breeding pairs]","Osprey Breeding pairs Connecticut","Bierregaard et al. 2014",1985,1985,44,"breeding pairs",NA
"Osprey Connecticut [breeding pairs]","Osprey Breeding pairs Connecticut","Bierregaard et al. 2014",1990,1990,55,"breeding pairs",NA
"Osprey Connecticut [breeding pairs]","Osprey Breeding pairs Connecticut","Bierregaard et al. 2014",1995,1995,103,"breeding pairs",NA
"Osprey Connecticut [breeding pairs]","Osprey Breeding pairs Connecticut","Bierregaard et al. 2014",2000,2000,158,"breeding pairs",NA
"Osprey Connecticut [breeding pairs]","Osprey Breeding pairs Connecticut","Bierregaard et al. 2014",2005,2005,196,"breeding pairs",NA
"Osprey Connecticut [breeding pairs]","Osprey Breeding pairs Connecticut","Bierregaard et al. 2014",2010,2010,235,"breeding pairs",NA
"Osprey Rhode Island [breeding pairs]","Osprey Breeding pairs Rhode Island","Bierregaard et al. 2014",1975,1975,9,"breeding pairs",NA
"Osprey Rhode Island [breeding pairs]","Osprey Breeding pairs Rhode Island","Bierregaard et al. 2014",1980,1980,12,"breeding pairs",NA
"Osprey Rhode Island [breeding pairs]","Osprey Breeding pairs Rhode Island","Bierregaard et al. 2014",1985,1985,20,"breeding pairs",NA
"Osprey Rhode Island [breeding pairs]","Osprey Breeding pairs Rhode Island","Bierregaard et al. 2014",1990,1990,31,"breeding pairs",NA
"Osprey Rhode Island [breeding pairs]","Osprey Breeding pairs Rhode Island","Bierregaard et al. 2014",1995,1995,43,"breeding pairs",NA
"Osprey Rhode Island [breeding pairs]","Osprey Breeding pairs Rhode Island","Bierregaard et al. 2014",2000,2000,58,"breeding pairs",NA
"Osprey Rhode Island [breeding pairs]","Osprey Breeding pairs Rhode Island","Bierregaard et al. 2014",2005,2005,98,"breeding pairs",NA
"Osprey Rhode Island [breeding pairs]","Osprey Breeding pairs Rhode Island","Bierregaard et al. 2014",2010,2010,115,"breeding pairs",NA
"Osprey Mainland Massachusetts [breeding pairs]","Osprey Breeding pairs Mainland Massachusetts","Bierregaard et al. 2014",1975,1975,9,"breeding pairs",NA
"Osprey Mainland Massachusetts [breeding pairs]","Osprey Breeding pairs Mainland Massachusetts","Bierregaard et al. 2014",1980,1980,25,"breeding pairs",NA
"Osprey Mainland Massachusetts [breeding pairs]","Osprey Breeding pairs Mainland Massachusetts","Bierregaard et al. 2014",1985,1985,83,"breeding pairs",NA
"Osprey Mainland Massachusetts [breeding pairs]","Osprey Breeding pairs Mainland Massachusetts","Bierregaard et al. 2014",1990,1990,169,"breeding pairs",NA
"Osprey Mainland Massachusetts [breeding pairs]","Osprey Breeding pairs Mainland Massachusetts","Bierregaard et al. 2014",1995,1995,240,"breeding pairs",NA
"Osprey Mainland Massachusetts [breeding pairs]","Osprey Breeding pairs Mainland Massachusetts","Bierregaard et al. 2014",2000,2000,299,"breeding pairs",NA
"Osprey Mainland Massachusetts [breeding pairs]","Osprey Breeding pairs Mainland Massachusetts","Bierregaard et al. 2014",2005,2005,349,"breeding pairs",NA
"Osprey Mainland Massachusetts [breeding pairs]","Osprey Breeding pairs Mainland Massachusetts","Bierregaard et al. 2014",2010,2010,400,"breeding pairs",NA
"Osprey Wesport River [breeding pairs]","Osprey Breeding pairs Wesport River","Bierregaard et al. 2014",1975,1975,14,"breeding pairs",NA
"Osprey Wesport River [breeding pairs]","Osprey Breeding pairs Wesport River","Bierregaard et al. 2014",1980,1980,20,"breeding pairs",NA
"Osprey Wesport River [breeding pairs]","Osprey Breeding pairs Wesport River","Bierregaard et al. 2014",1985,1985,45,"breeding pairs",NA
"Osprey Wesport River [breeding pairs]","Osprey Breeding pairs Wesport River","Bierregaard et al. 2014",1990,1990,69,"breeding pairs",NA
"Osprey Wesport River [breeding pairs]","Osprey Breeding pairs Wesport River","Bierregaard et al. 2014",1995,1995,70,"breeding pairs",NA
"Osprey Wesport River [breeding pairs]","Osprey Breeding pairs Wesport River","Bierregaard et al. 2014",2000,2000,70,"breeding pairs",NA
"Osprey Wesport River [breeding pairs]","Osprey Breeding pairs Wesport River","Bierregaard et al. 2014",2005,2005,73,"breeding pairs",NA
"Osprey Wesport River [breeding pairs]","Osprey Breeding pairs Wesport River","Bierregaard et al. 2014",2010,2010,66,"breeding pairs",NA
"Osprey York [breeding pairs]","Osprey Breeding pairs York","Watts and Paxton 2007",1973,1973,35,"breeding pairs",NA
"Osprey York [breeding pairs]","Osprey Breeding pairs York","Watts and Paxton 2007",1985,1985,45,"breeding pairs",NA
"Osprey York [breeding pairs]","Osprey Breeding pairs York","Watts and Paxton 2007",1990,1990,76,"breeding pairs",NA
"Osprey York [breeding pairs]","Osprey Breeding pairs York","Watts and Paxton 2007",1995,1995,132,"breeding pairs",NA
"Osprey Potomac [breeding pairs]","Osprey Breeding pairs Potomac","Watts and Paxton 2007",1973,1973,44,"breeding pairs",NA
"Osprey Potomac [breeding pairs]","Osprey Breeding pairs Potomac","Watts and Paxton 2007",1985,1985,80,"breeding pairs",NA
"Osprey Potomac [breeding pairs]","Osprey Breeding pairs Potomac","Watts and Paxton 2007",1990,1990,100,"breeding pairs",NA
"Osprey Potomac [breeding pairs]","Osprey Breeding pairs Potomac","Watts and Paxton 2007",1995,1995,227,"breeding pairs",NA
"Osprey Mobjack bay [breeding pairs]","Osprey Breeding pairs Mobjack bay","Watts and Paxton 2007",1973,1973,71,"breeding pairs",NA
"Osprey Mobjack bay [breeding pairs]","Osprey Breeding pairs Mobjack bay","Watts and Paxton 2007",1985,1985,101,"breeding pairs",NA
"Osprey Mobjack bay [breeding pairs]","Osprey Breeding pairs Mobjack bay","Watts and Paxton 2007",1990,1990,120,"breeding pairs",NA
"Osprey Mobjack bay [breeding pairs]","Osprey Breeding pairs Mobjack bay","Watts and Paxton 2007",1995,1995,201,"breeding pairs",NA
"Osprey Rappahannock [breeding pairs]","Osprey Breeding pairs Rappahannock","Watts and Paxton 2007",1973,1973,92,"breeding pairs",NA
"Osprey Rappahannock [breeding pairs]","Osprey Breeding pairs Rappahannock","Watts and Paxton 2007",1985,1985,98,"breeding pairs",NA
"Osprey Rappahannock [breeding pairs]","Osprey Breeding pairs Rappahannock","Watts and Paxton 2007",1990,1990,135,"breeding pairs",NA
"Osprey Rappahannock [breeding pairs]","Osprey Breeding pairs Rappahannock","Watts and Paxton 2007",1995,1995,257,"breeding pairs",NA
"Spinner shark Florida-Maryland & Gulf Coast-Louisiana [cpue (standardized)]","Spinner shark StandardizedCPUE FromFlorida_TO_Maryland_andGulfCoast_to_Lousiana","Carlson et al. 2012",1994,1994,0.28,"cpue (standardized)",NA
"Spinner shark Florida-Maryland & Gulf Coast-Louisiana [cpue (standardized)]","Spinner shark StandardizedCPUE FromFlorida_TO_Maryland_andGulfCoast_to_Lousiana","Carlson et al. 2012",1995,1995,0.782,"cpue (standardized)",NA
"Spinner shark Florida-Maryland & Gulf Coast-Louisiana [cpue (standardized)]","Spinner shark StandardizedCPUE FromFlorida_TO_Maryland_andGulfCoast_to_Lousiana","Carlson et al. 2012",1996,1996,0.878,"cpue (standardized)",NA
"Spinner shark Florida-Maryland & Gulf Coast-Louisiana [cpue (standardized)]","Spinner shark StandardizedCPUE FromFlorida_TO_Maryland_andGulfCoast_to_Lousiana","Carlson et al. 2012",1997,1997,0.917,"cpue (standardized)",NA
"Spinner shark Florida-Maryland & Gulf Coast-Louisiana [cpue (standardized)]","Spinner shark StandardizedCPUE FromFlorida_TO_Maryland_andGulfCoast_to_Lousiana","Carlson et al. 2012",1998,1998,0.781,"cpue (standardized)",NA
"Spinner shark Florida-Maryland & Gulf Coast-Louisiana [cpue (standardized)]","Spinner shark StandardizedCPUE FromFlorida_TO_Maryland_andGulfCoast_to_Lousiana","Carlson et al. 2012",1999,1999,0.722,"cpue (standardized)",NA
"Spinner shark Florida-Maryland & Gulf Coast-Louisiana [cpue (standardized)]","Spinner shark StandardizedCPUE FromFlorida_TO_Maryland_andGulfCoast_to_Lousiana","Carlson et al. 2012",2000,2000,0.721,"cpue (standardized)",NA
"Spinner shark Florida-Maryland & Gulf Coast-Louisiana [cpue (standardized)]","Spinner shark StandardizedCPUE FromFlorida_TO_Maryland_andGulfCoast_to_Lousiana","Carlson et al. 2012",2001,2001,0.759,"cpue (standardized)",NA
"Spinner shark Florida-Maryland & Gulf Coast-Louisiana [cpue (standardized)]","Spinner shark StandardizedCPUE FromFlorida_TO_Maryland_andGulfCoast_to_Lousiana","Carlson et al. 2012",2002,2002,0.991,"cpue (standardized)",NA
"Spinner shark Florida-Maryland & Gulf Coast-Louisiana [cpue (standardized)]","Spinner shark StandardizedCPUE FromFlorida_TO_Maryland_andGulfCoast_to_Lousiana","Carlson et al. 2012",2003,2003,1.716,"cpue (standardized)",NA
"Spinner shark Florida-Maryland & Gulf Coast-Louisiana [cpue (standardized)]","Spinner shark StandardizedCPUE FromFlorida_TO_Maryland_andGulfCoast_to_Lousiana","Carlson et al. 2012",2004,2004,1.696,"cpue (standardized)",NA
"Spinner shark Florida-Maryland & Gulf Coast-Louisiana [cpue (standardized)]","Spinner shark StandardizedCPUE FromFlorida_TO_Maryland_andGulfCoast_to_Lousiana","Carlson et al. 2012",2005,2005,1.299,"cpue (standardized)",NA
"Spinner shark Florida-Maryland & Gulf Coast-Louisiana [cpue (standardized)]","Spinner shark StandardizedCPUE FromFlorida_TO_Maryland_andGulfCoast_to_Lousiana","Carlson et al. 2012",2006,2006,1.54,"cpue (standardized)",NA
"Spinner shark Florida-Maryland & Gulf Coast-Louisiana [cpue (standardized)]","Spinner shark StandardizedCPUE FromFlorida_TO_Maryland_andGulfCoast_to_Lousiana","Carlson et al. 2012",2007,2007,1.801,"cpue (standardized)",NA
"Spinner shark Florida-Maryland & Gulf Coast-Louisiana [cpue (standardized)]","Spinner shark StandardizedCPUE FromFlorida_TO_Maryland_andGulfCoast_to_Lousiana","Carlson et al. 2012",2008,2008,0.213,"cpue (standardized)",NA
"Spinner shark Florida-Maryland & Gulf Coast-Louisiana [cpue (standardized)]","Spinner shark StandardizedCPUE FromFlorida_TO_Maryland_andGulfCoast_to_Lousiana","Carlson et al. 2012",2009,2009,0.629,"cpue (standardized)",NA
"Harbor porpoise Gulf of Maine-Bay of Fundy [abundance (est.)]","Harbor porpoise Abundance Estimate Gulf of Maine_bay of Fundy","NOAA 2007",1999,1999,89700,"abundance (est.)",NA
"Harbor porpoise Gulf of Maine-Bay of Fundy [abundance (est.)]","Harbor porpoise Abundance Estimate Gulf of Maine_bay of Fundy","NOAA 2011",2006,2006,89054,"abundance (est.)",NA
"Harbor porpoise Gulf of Maine-Bay of Fundy [abundance (est.)]","Harbor porpoise Abundance Estimate Gulf of Maine_bay of Fundy","NOAA 2015",2011,2011,79883,"abundance (est.)",NA
"Atlantic white-sided dolphin Central Virginia-Lower Bay of Fundy [abundance (est.)]","Atlantic white-sided dolphin Abundance Estimate Central Virginia to lower Bay of Fundy ","NOAA 2015",2011,2011,48819,"abundance (est.)",NA
"Atlantic white-sided dolphin S. Gulf of Maine-Upper Bay of Fundy-Gulf of St. Lawrence [abundance (est.)]","Atlantic white-sided dolphin Abundance Estimate S Gulf of Maine to upper Bay of Fundy to Gulf of St Lawrence","NOAA 2011",2007,2007,23390,"abundance (est.)",NA
"Atlantic white-sided dolphin NW Atlantic [abundance (est.)]","Atlantic white-sided dolphin Abundance Estimate ","NOAA 2010",2004,2004,63368,"abundance (est.)",NA
"Atlantic white-sided dolphin Georges Bank-Gulf of St. Lawrence [abundance (est.)]","Atlantic white-sided dolphin Abundance Estimate Georges Bank to mouth of Gulf of St Lawrence ","NOAA 2002",1999,1999,51640,"abundance (est.)",NA
"Atlantic white-sided dolphin Virginia-Gulf of St. Lawrence [abundance (est.)]","Atlantic white-sided dolphin Abundance Estimate Virginia to Gulf of St Lawrence","NOAA 1997",1997,1997,27200,"abundance (est.)",NA
"Western Atlantic harbor seal Maine coast [abundance (est.)]","Western Atlantic harbor seal  Abundance Estimate Maine coast","NOAA 2015",2012,2012,75834,"abundance (est.)",NA
"Western Atlantic harbor seal Maine coast [abundance (est.)]","Western Atlantic harbor seal  Abundance Estimate Maine coast","NOAA 2012",2001,2001,99340,"abundance (est.)",NA
"Western Atlantic harbor seal Maine coast [abundance (min est.)]","Western Atlantic harbor seal  Minimum abundance estimate Maine coast","NOAA 2001",1997,1997,30990,"abundance (min est.)",NA
"Western Atlantic harbor seal Maine coast [abundance (min est.)]","Western Atlantic harbor seal  Minimum abundance estimate Maine coast","NOAA 2001",1993,1993,28810,"abundance (min est.)",NA
"Western Atlantic harbor seal Maine coast [abundance (min est.)].1","Western Atlantic harbor seal  Minimum abundance estimate Maine coast ","NOAA 1998",1986,1986,12940,"abundance (min est.)",NA
"Western Atlantic harbor seal Maine coast [abundance (min est.)]","Western Atlantic harbor seal  Minimum abundance estimate Maine coast","NOAA 1998",1982,1982,9331,"abundance (min est.)",NA
"Western Atlantic harbor seal Maine coast [abundance (min est.)]","Western Atlantic harbor seal  Minimum abundance estimate Maine coast","NOAA 1998",1981,1981,10540,"abundance (min est.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",1950,1950,45257730,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",1951,1951,45003710,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",1952,1952,44790950,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",1953,1953,44612550,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",1954,1954,44461990,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",1955,1955,44333690,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",1956,1956,44224260,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",1957,1957,44130820,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",1958,1958,44050740,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",1959,1959,43981870,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",1960,1960,43922310,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",1961,1961,43871080,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",1962,1962,43826880,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",1963,1963,43788200,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",1964,1964,43754780,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",1965,1965,43725360,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",1966,1966,43699480,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",1967,1967,43676550,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",1968,1968,43656300,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",1969,1969,43638100,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",1970,1970,43621890,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",1971,1971,43607280,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",1972,1972,43593660,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",1973,1973,42533930,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",1974,1974,41830930,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",1975,1975,41012460,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",1976,1976,40755030,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",1977,1977,39671890,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",1978,1978,38567260,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",1979,1979,37029090,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",1980,1980,34635660,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",1981,1981,34170920,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",1982,1982,33255970,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",1983,1983,32582980,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",1984,1984,32071480,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",1985,1985,31597950,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",1986,1986,30920840,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",1987,1987,29947820,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",1988,1988,28241490,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",1989,1989,27669020,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",1990,1990,26375880,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",1991,1991,25316950,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",1992,1992,24012360,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",1993,1993,23686300,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",1994,1994,23664590,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",1995,1995,23173210,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",1996,1996,23093170,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",1997,1997,23069210,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",1998,1998,22931310,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",1999,1999,22448380,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",2000,2000,22030610,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",2001,2001,21907168,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",2002,2002,22114440,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",2003,2003,22479293,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",2004,2004,22731634,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",2005,2005,23294252,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",2006,2006,24405579,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",2007,2007,25403334,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",2008,2008,26325101,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",2009,2009,27501675,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",2010,2010,28132584,"abundance (pred.)",NA
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM","SEDAR 2013",2011,2011,28863603,"abundance (pred.)",NA
"Smooth dogfish Northwest Atlantic Coast [biomass (pred.)]","Smooth dogfish Predicted Biomass Northwest Atlantic Coast","SEDAR 2015",1981,1981,30262,"biomass (pred.)",NA
"Smooth dogfish Northwest Atlantic Coast [biomass (pred.)]","Smooth dogfish Predicted Biomass Northwest Atlantic Coast","SEDAR 2015",1982,1982,28454,"biomass (pred.)",NA
"Smooth dogfish Northwest Atlantic Coast [biomass (pred.)]","Smooth dogfish Predicted Biomass Northwest Atlantic Coast","SEDAR 2015",1983,1983,26206,"biomass (pred.)",NA
