"source","stocklong","stockid","dietid","region","area","location","pred_type","class","order","family","species","comm_name","reference","n_units","n_yr","diet_yn","diet_prop"
"Cury et al. (2011)","Red-billed gull Kaikoura (breeders)",NA,"Red-billed gull New Zealand","New Zealand","New Zealand","Kaikoura","birds","Aves","Charadriiformes","Laridae","Larus novaehollandiae scopulinus","Red-billed gull","Mills et al 2008","breeders",22,"Y",0.84
"Cury et al. (2011)","Gentoo penguin S Georgia (breeding pairs)",NA,"Gentoo penguin Scotia Sea","Scotia Sea","Scotia Sea","S Georgia","birds","Aves","Sphenisciformes","Spheniscidae","Pygoscelis papua","Gentoo penguin","Boyd and Murray 2001","breeding pairs",21,"Y",0.525
"Cury et al. (2011)","African penguin W Cape (pairs)",NA,"African penguin Benguela Current","Benguela Current","Benguela Current","W Cape","birds","Aves","Sphenisciformes","Spheniscidae","Spheniscus demersus","African penguin","Crawford et al 2008","pairs",20,"Y",0.86
"Cury et al. (2011)","Cape gannet W Cape (pairs)",NA,"Cape gannet Benguela Current","Benguela Current","Benguela Current","W Cape","birds","Aves","Suliformes","Sulidae","Morus capensis","Cape gannet","Crawford et al 2008","pairs",18,"Y",0.61
"Cury et al. (2011)","Cape gannet E Cape (pairs)",NA,"Cape gannet Benguela Current","Benguela Current","Benguela Current","E Cape","birds","Aves","Suliformes","Sulidae","Morus capensis","Cape gannet","Crawford et al 2008","pairs",15,"Y",0.61
"Cury et al. (2011)","Rhinoceros auklet Farallon (pairs)",NA,"Rhinoceros auklet California Current","California Current","California Current","Farallon","birds","Aves","Charadriiformes","Alcidae","Cerorhinca monocerata","Rhinoceros auklet","Ainley and Boekelheide 1989","pairs",15,"Y",0.16
"Cury et al. (2011)","Black-legged kittiwake Chisik (NA)",NA,"Black-legged kittiwake Gulf of Alaska","Gulf of Alaska","Gulf of Alaska","Chisik","birds","Aves","Ciconiiformes","Laridae","Rissa tridactyla","Black-legged kittiwake","Jones and Peterson 1979 in Piatt 2002, Kafka 1984 in Piatt 2002, Nishimoto 1987 in Piatt 2002, Nishimoto unpub in Piatt 2002, North Pacific Seabird Data Portal (Robb Kaler), Slater et al 1995 in Piatt 2002, Snarski 1974 in Piatt 2002, Zador et al 1997","",9,"Y",0.83
"Cury et al. (2011)","Common guillemot Chisik (NA)",NA,"Common guillemot Gulf of Alaska","Gulf of Alaska","Gulf of Alaska","Chisik","birds","Aves","Charadriiformes","Alcidae","Uria aalge","Common guillemot","Erikson 1993 in Piatt 2002, Jones and Peterson 1979 in Piatt 2002, Muhlberg 1984 in Piatt 2002, Nishimoto et al 1987 in Piatt 2002, Piatt 2002, Slater et al 1995 in Piatt 2002, Zador and Piatt 1999, Zador et al 1997 in Piatt 2002","",9,"Y",0.91
"Cury et al. (2011)","Common guillemot Gull (NA)",NA,"Common guillemot Gulf of Alaska","Gulf of Alaska","Gulf of Alaska","Gull","birds","Aves","Charadriiformes","Alcidae","Uria aalge","Common guillemot","in Nishimoto and Beringer 1989, Nishimoto and Thomas 1991, Nishinoto and Beringer 1989, North Pacific Seabird Data Portal (Robb Kaler); Nishomoto and Thomas 1991, Piatt 2002, Zador et al 1997","",9,"Y",0.91
"Cury et al. (2011)","African penguin E Cape (pairs)",NA,"African penguin Benguela Current","Benguela Current","Benguela Current","E Cape","birds","Aves","Sphenisciformes","Spheniscidae","Spheniscus demersus","African penguin","Crawford et al 2008","pairs",8,"Y",0.86
"Cury et al. (2011)","Black-legged kittiwake Gull (nests)",NA,"Black-legged kittiwake Gulf of Alaska","Gulf of Alaska","Gulf of Alaska","Gull","birds","Aves","Ciconiiformes","Laridae","Rissa tridactyla","Black-legged kittiwake","Nishimoto et al 1987 in Piatt 2002, Piatt 2002, Zador et al 1997 in Piatt 2002","nests",4,"Y",0.83
"Cury et al. (2011)","Black-legged kittiwake Gull (NA)",NA,"Black-legged kittiwake Gulf of Alaska","Gulf of Alaska","Gulf of Alaska","Gull","birds","Aves","Ciconiiformes","Laridae","Rissa tridactyla","Black-legged kittiwake","Nishimoto et al 1987 in Piatt 2002, Piatt 2002, Zador et al 1997 in Piatt 2002","",3,"Y",0.83
"Cury et al. (2011)","African penguin Robben Island (pairs)",NA,"African penguin Benguela Current","Benguela Current","Benguela Current","Robben Island","birds","Aves","Sphenisciformes","Spheniscidae","Spheniscus demersus","African penguin","Du Toit et al 2004 in 106","pairs",2,"Y",0.86
"Cury et al. (2011)","African penguin South (pairs)",NA,"African penguin Benguela Current","Benguela Current","Benguela Current","South","birds","Aves","Sphenisciformes","Spheniscidae","Spheniscus demersus","African penguin","Crawford et al 2001 in 106","pairs",2,"Y",0.86
"Cury et al. (2011)","Atlantic puffin Rost (apparently occupied burrows)",NA,"Atlantic puffin Norwegian Sea","Norwegian Sea","Norwegian Sea","Rost","birds","Aves","Charadriiformes","Alcidae","Fratercula arctica","Atlantic puffin","Anker-Nilssen 2010","apparently occupied burrows",2,"Y",0.56
"Cury et al. (2011)","Black-legged kittiwake Chisik (nests)",NA,"Black-legged kittiwake Gulf of Alaska","Gulf of Alaska","Gulf of Alaska","Chisik","birds","Aves","Ciconiiformes","Laridae","Rissa tridactyla","Black-legged kittiwake","Piatt 2002, Zador et al 1997","nests",2,"Y",0.83
"Cury et al. (2011)","African penguin Dassen Island (adult plumage)",NA,"African penguin Benguela Current","Benguela Current","Benguela Current","Dassen Island","birds","Aves","Sphenisciformes","Spheniscidae","Spheniscus demersus","African penguin","Shannon and Crawford 1999 in 106","adult plumage",1,"Y",0.86
"Cury et al. (2011)","African penguin Dassen Island (NA)",NA,"African penguin Benguela Current","Benguela Current","Benguela Current","Dassen Island","birds","Aves","Sphenisciformes","Spheniscidae","Spheniscus demersus","African penguin","Crawford et al 2005 in 106","",1,"Y",0.86
"Cury et al. (2011)","Black-legged kittiwake Barren (NA)",NA,"Black-legged kittiwake Gulf of Alaska","Gulf of Alaska","Gulf of Alaska","Barren","birds","Aves","Ciconiiformes","Laridae","Rissa tridactyla","Black-legged kittiwake","pers comm Arthur Kettle","",1,"Y",0.83
"Cury et al. (2011)","Black-legged kittiwake Gull (breeding only)",NA,"Black-legged kittiwake Gulf of Alaska","Gulf of Alaska","Gulf of Alaska","Gull","birds","Aves","Ciconiiformes","Laridae","Rissa tridactyla","Black-legged kittiwake","North Pacific Seabird Data Portal (Robb Kaler)","breeding only",1,"Y",0.83
"Cury et al. (2011)","Common guillemot Barren (unknown)",NA,"Common guillemot Gulf of Alaska","Gulf of Alaska","Gulf of Alaska","Barren","birds","Aves","Charadriiformes","Alcidae","Uria aalge","Common guillemot","North Pacific Seabird Data Portal (Robb Kaler)","unknown",1,"Y",0.91
"Cury et al. (2011)","Common guillemot Chisik (unknown)",NA,"Common guillemot Gulf of Alaska","Gulf of Alaska","Gulf of Alaska","Chisik","birds","Aves","Charadriiformes","Alcidae","Uria aalge","Common guillemot","North Pacific Seabird Data Portal (Robb Kaler); Snarski 1971b in Piatt 2002","unknown",1,"Y",0.91
"Towell et al. (2016)","Northern fur seal St. George",NA,"Northern fur seal Pribolof Islands","Bering Sea","Pribolof Islands","St. George","mammals","Mammalia","Carnivora","Otariidae","Callorhinus ursinus","Northern fur seal","Towell et al 2016 Figure 2","# of males (harem males + idle males)",41,"Y",0.930191258483333
"Towell et al. (2016)","Northern fur seal St. Paul",NA,"Northern fur seal Pribolof Islands","Bering Sea","Pribolof Islands","St. Paul","mammals","Mammalia","Carnivora","Otariidae","Callorhinus ursinus","Northern fur seal","Towell et al 2016 Figure 2","# of males (harem males + idle males)",42,"Y",0.930191258483333
