"stockid","stocklong","region","area","location","reference","type","class","order","family","species","comm_name","n_units","nprey","prey1","prey1_prop","prey_prop","r","r_se","r_lo","r_hi","k","k_se","k_lo","k_hi","betaT","betaT_se","betaT_lo","betaT_hi","betaT_inf","sigmaP","sigmaP_se","sigmaP_lo","sigmaP_hi"
"PACBTUNA","Pacific bluefin tuna Pacific Ocean","Pacific Ocean","Pacific Ocean","Pacific Ocean","RAM","fish","Actinopterygii","Perciformes","Scombridae","Thunnus orientalis","Pacific bluefin tuna","MT",3,"Northern anchovy",0.7999,0.8158,0.254993637175349,0.0297096364486049,0.202933121315649,0.320409771349135,1.76321725045222,0.264065299926027,1.31469405701606,2.36475935652177,-0.185670989245284,0.0737742197372992,-0.330268459930391,-0.041073518560178,"negative",0.0438195562513015,0.00400015856974391,0.0366406238089049,0.0524050441956261
"PERBOOPERU","Peruvian booby Peru (number of adults)","Humboldt","Peru","Peru","IMARPE.Renato","birds","Aves","Ciconiiformes","Sulidae","Sula variegata","Peruvian booby","number of adults",1,"Peruvian anchoveta",0.795671428571429,0.795671428571429,0.677776540304209,0.161216295088931,0.425221829761876,1.08033267916653,0.574430841855152,0.0434909020794644,0.495211812465395,0.666322538696465,-0.157304919234057,0.271991083771426,-0.690407443426052,0.375797604957938,"none",0.176395732994892,0.0171330624527896,0.145817813294682,0.213385826571985
"PERPELPERU","Peruvian pelican Peru (number of adults)","Humboldt","Peru","Peru","IMARPE.Renato","birds","Aves","Ciconiiformes","Pelecanidae","Pelecanus thagus","Peruvian pelican","number of adults",1,"Peruvian anchoveta",0.8,0.8,0.488789019675191,0.161398194563779,0.255887706586591,0.933670120155565,0.355667750170375,0.0670611468895823,0.24578054636516,0.514684951197538,0.147428391460122,0.32913492199928,-0.497676055658466,0.792532838578711,"none",0.18308144768949,0.0177824362525914,0.151344569982766,0.22147353216502
"PHSEALJFUCA","Pacific harbor seal Juan de la Fuca [abundance (total est.)]","NE Pacific","Washington","Juan de la Fuca","Jeffries et al. 2003","mammals","Mammalia","Carnivora","Phocidae","Phoca vitulina richardsi","Pacific harbor seal","abundance (total est.)",5,"Pacific hake",0.426,0.553916666666667,0.56250164127684,0.205038151594571,0.275324964274633,1.1492168800339,0.855853085314474,0.0470819199011839,0.768373413517728,0.95329235857977,-0.628933796606248,0.307430711592354,-1.23149799132726,-0.0263696018852343,"negative",0.138155662600985,0.0244226933302331,0.0976997335705689,0.195363758028374
"PHSEALOR","Pacific harbor seal Oregon [abundance (total est.)]","NE Pacific","Oregon","Oregon","Brown et al. 2005","mammals","Mammalia","Carnivora","Phocidae","Phoca vitulina richardsi","Pacific harbor seal","abundance (total est.)",5,"Pacific hake",0.426,0.553916666666667,0.570358234962253,0.175845951414387,0.311681288909739,1.04372167263292,0.867042612388518,0.0299745108327893,0.810238791453635,0.927828807540528,-0.362994768576472,0.388886492701624,-1.12521229427166,0.399222757118712,"none",0.0754742426992392,0.0129437215230631,0.0539282428578161,0.105628535423309
"PHSEALSJI","Pacific harbor seal San Juan Islands [abundance (total est.)]","NE Pacific","Washington","San Juan Islands","Jeffries et al. 2003","mammals","Mammalia","Carnivora","Phocidae","Phoca vitulina richardsi","Pacific harbor seal","abundance (total est.)",5,"Pacific hake",0.426,0.553916666666667,0.352123599236274,0.139916507801695,0.161608243921808,0.767232080060837,0.831386695361682,0.0415047820789179,0.753890556859092,0.916849045177269,-0.622956880869458,0.351069647764068,-1.31105339048703,0.0651396287481141,"none",0.0797772093793487,0.0141027467331617,0.056416160978334,0.112811701930598
"PHSEALWA","Pacific harbor seal Coastal Estuaries [abundance (total est.)]","NE Pacific","Washington","Coastal Estuaries","Jeffries et al. 2003","mammals","Mammalia","Carnivora","Phocidae","Phoca vitulina richardsi","Pacific harbor seal","abundance (total est.)",5,"Pacific hake",0.426,0.553916666666667,0.421009352003504,0.197437914549292,0.167919899102324,1.0555561039636,0.758064440874572,0.0497061805328955,0.666640864904583,0.862025907458777,0.541473294585186,0.517699919186415,-0.473218547020188,1.55616513619056,"none",0.105885820292908,0.0176476308329463,0.0763780070371144,0.146793656630158
"POLL5YZ","Pollock NAFO-5YZ","USA/Canada East","US East Coast","Gulf of Maine / Georges Bank","RAM","fish","Actinopterygii","Gadiformes","Gadidae","Pollachius virens","Pollock","MT",4,"Longfin inshore squid",0.378,0.547333333333333,0.142050973904847,0.0347324252536604,0.0879662034453887,0.229388997103219,0.957365187614981,0.0969012398272152,0.785091599476421,1.16744097512738,0.0196666531496035,0.202296874220128,-0.376835220321848,0.416168526621055,"none",0.0338192066726495,0.00416285518545808,0.0265696515149594,0.0430468099787996
"POLLNS-VI-IIIa","Pollock ICES IIIa, VI and North Sea","Europe","European Union","IIIa, VI and North Sea","RAM","fish","Actinopterygii","Gadiformes","Gadidae","Pollachius virens","Pollock","MT",3,"Norway pout",0.34605,0.62345,0.416555971516626,0.132894663365801,0.222898880595887,0.778464552815534,2.14996266575253,0.875839586388294,0.967535466638868,4.77743671783664,-0.110174865909378,0.0717257241067852,-0.250757285158677,0.030407553339921,"none",0.0857290109151211,0.0107161227926903,0.0671004913816,0.109529202561105
"SHAKE4VWX","Silver hake Scotian Shelf and Bay of Fundy","USA/Canada East","Canada East Coast","Scotian Shelf and Bay of Fundy","RAM","fish","Actinopterygii","Gadiformes","Merlucciidae","Merluccius bilinearis","Silver hake","MT",4,"Atlantic mackerel",0.127833333333333,0.400208333333333,0.514033467026623,0.112988194961024,0.334108736772171,0.790851528685374,1.0383131677513,0.0710254618076353,0.908031965940373,1.18728665373498,-0.496628302871783,0.232778166959414,-0.952873510112235,-0.0403830956313305,"negative",0.0978489660232217,0.0150984182149278,0.0723120413059342,0.132404230041116
"SSTHORNHPCOAST","Shortspine thornyhead Pacific Coast","USA/Canada West","US West Coast","Pacific Coast","RAM","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastolobus alascanus","Shortspine thornyhead","MT",1,"Pacific hake",0.224633333333333,0.224633333333333,0.0471161373589967,0.014899110156806,0.0253511091134834,0.0875673876710637,0.93288445375191,0.00906628382061403,0.915282711811946,0.950824693639363,0.0764016011461336,0.242891195935583,-0.399665142887609,0.552468345179876,"none",0.00149704498666573,0.000236703516984507,0.001098109482326,0.00204091097306056
"STMARLINNEPAC","Striped marlin Northeast Pacific","Pacific Ocean","Pacific Ocean","Northeast Pacific","RAM","fish","Actinopterygii","Perciformes","Istiophoridae","Kajikia audax","Striped marlin","MT",3,"Pacific chub mackerel",0.26598,0.559213333333333,0.380151451039825,0.10148070416192,0.225281666464127,0.641486402315371,2.24137714742489,1.12786833381122,0.835948763707533,6.00966438985745,0.013182975199322,0.0811199458678408,-0.145812118701646,0.17217806910029,"none",0.0740388746028851,0.0102673411453507,0.0564179450297109,0.0971633218752462
"WHAKE4T","White hake Southern Gulf of St. Lawrence","USA/Canada East","Canada East Coast","Southern Gulf of St. Lawrence","RAM","fish","Actinopterygii","Gadiformes","Phycidae","Urophycis tenuis","White hake","MT",4,"Northern shortfin squid",0.3095,0.4495,0.0274870730880018,0.0209227649672087,0.0061829283074381,0.122197630212894,5.41140100056606,2.93985390738256,1.8658152124846,15.6946200207749,0.424535036787691,0.340682415654026,-0.243202497894201,1.09227257146958,"none",0.0706542046149,0.0087008015080722,0.0555026594931832,0.0899419356720604
"WHAKEGBGOM","White hake Georges Bank / Gulf of Maine","USA/Canada East","US East Coast","Gulf of Maine / Georges Bank","RAM","fish","Actinopterygii","Gadiformes","Phycidae","Urophycis tenuis","White hake","MT",4,"Northern shortfin squid",0.3095,0.4495,0.357456256821302,0.029751992110378,0.30365045420653,0.420796260208423,1.51929100368502,0.11648895033212,1.307300400591,1.76565780354287,0.0109105914647075,0.0401425361878231,-0.0677687794634258,0.0895899623928407,"none",0.0304289891674387,0.00344540341233924,0.0243728429921964,0.0379899621085877
"WHITNS-VIId","Whiting NS-VIId","Europe","European Union","IV and VIId","RAM","fish","Actinopterygii","Gadiformes","Gadidae","Merlangius merlangus","Whiting","MT",3,"Sandeel spp.",0.207025,0.50765,0.30966873105959,0.164816069944969,0.109106609523447,0.878908467735388,0.937497634419266,0.187312113715,0.633719263302266,1.38689458477532,0.205790196656602,0.243975415332877,-0.272401617395837,0.68398201070904,"none",0.125555508757962,0.017411410532503,0.0956738447107489,0.164770066752628
"WMARLINATL","White marlin Atlantic","Atlantic Ocean","Atlantic Ocean","Atlantic Ocean","RAM","fish","Actinopterygii","Perciformes","Istiophoridae","Kajikia albida","White marlin","MT",1,"Northern shortfin squid",0.541,0.541,0.0915857267085975,0.00629092663979833,0.0800494934821718,0.104784489843275,1.1256305723238,0.045040958740481,1.04072333662216,1.21746495035116,0.0974093298360379,0.047801190556543,0.00371899634521361,0.191099663326862,"positive",0.00951790303671613,0.000907496144862999,0.00789552347464536,0.011473650671452
"YTROCKNPCOAST","Yellowtail rockfish Northern Pacific Coast","USA/Canada West","US West Coast","Northern Pacific Coast","RAM","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes flavidus","Yellowtail rockfish","MT",2,"Pacific hake",0.163,0.246,0.249386629296235,0.0859548634285151,0.126907802280477,0.490069875564347,0.931399433614303,0.0845598635041017,0.77957102616942,1.1127977770027,-0.159650923691256,0.294342135575642,-0.736561509419514,0.417259662037002,"none",0.079690047686339,0.00902311807680914,0.0638296924564745,0.0994913723668869
