sort_cmf,sort_orig,country,location_orig,location,pred_common,pred_scientific,stocklong,season,source,year_orig,year,n,n_units,ff_common,ff_scientific,ff_eaten_mm,ff_eaten_yr,ff_diet_perc,ff_diet_perc_units,notes
221,363,North Sea,,Mackinson & Daskalov 2007,Large crabs,Majidae spp,Mackinson & Daskalov 2007 Large crabs,,Mackinson and Daskalov 2007 Table 3.4,,,,,Norway pout,Trisopterus esmarkii,,,24,,
222,750,North Sea,,Mackinson & Daskalov 2007,Large crabs,Majidae spp,Mackinson & Daskalov 2007 Large crabs,,Mackinson and Daskalov 2007 Table 3.4,,,,,Norway pout,Trisopterus esmarkii,,,24,diet matrix,
223,362,North Sea,,Mackinson & Daskalov 2007,Megrim,Lepidorhombus whiffiagonis,Mackinson & Daskalov 2007 Megrim,,Mackinson and Daskalov 2007 Table 3.4,,,,,Norway pout,Trisopterus esmarkii,,,24,,
224,364,North Sea,,Mackinson & Daskalov 2007,Megrim,Lepidorhombus whiffiagonis,Mackinson & Daskalov 2007 Megrim,,Mackinson and Daskalov 2007 Table 3.4,,,,,European sprat,Sprattus sprattus,,,33.8,,
225,746,North Sea,,Mackinson & Daskalov 2007,Megrim,Lepidorhombus whiffiagonis,Mackinson & Daskalov 2007 Megrim,,Mackinson and Daskalov 2007 Table 3.4,,,,,European sprat,Sprattus sprattus,,,33.8,diet matrix,
226,749,North Sea,,Mackinson & Daskalov 2007,Megrim,Lepidorhombus whiffiagonis,Mackinson & Daskalov 2007 Megrim,,Mackinson and Daskalov 2007 Table 3.4,,,,,Norway pout,Trisopterus esmarkii,,,24,diet matrix,
227,359,North Sea,,Mackinson & Daskalov 2007,Saithe,Pollachius virens,Mackinson & Daskalov 2007 Saithe,,Mackinson and Daskalov 2007 Table 3.4,,,,,Norway pout,Trisopterus esmarkii,,,23.7,diet of juvenile saithe,
228,360,North Sea,,Mackinson & Daskalov 2007,Saithe,Pollachius virens,Mackinson & Daskalov 2007 Saithe,,Mackinson and Daskalov 2007 Table 3.4,,,,,Norway pout,Trisopterus esmarkii,,,32.2,diet of adult saithe,
229,747,North Sea,,Mackinson & Daskalov 2007,Saithe,Pollachius virens,Mackinson & Daskalov 2007 Saithe,,Mackinson and Daskalov 2007 Table 3.4,,,,,Norway pout,Trisopterus esmarkii,,,23.7; 32.2,,juvenile; adult - from diet matrix in ecosim model
230,772,North Sea,North Sea,North Sea,Common minke whale,Balaenoptera acutorostrata,North Sea Common minke whale,,Olsen and Holst 2001,1999,1999,,,Sandeel spp.,Ammodytidae spp.,,,86.7,relative contribution by weight,
231,773,North Sea,North Sea,North Sea,Grey gurnard,Eutrigla gurnardus,North Sea Grey gurnard,,de Gee and Kikkert 1993 Table 10,1991,1991,,,Sandeel spp.,Ammodytidae spp.,,,34.62,by weight,average over all size classes of predator
232,300,North Sea,North Sea (NE),North Sea (NE),Arctic skua,Stercorarius parasiticus,North Sea (NE) Arctic skua,,Furness and Tasker 2000 Table 2,2000,2000,,,Lesser sand-eel,Ammodytes marinus,,,80,,"median across yr, study and colony (Tasker and Furness 1996, Furness and Tasker 1999, Wanless et al 1998)"
233,298,North Sea,North Sea (NE),North Sea (NE),Arctic tern,Sterna paradisaea,North Sea (NE) Arctic tern,,Furness and Tasker 2000 Table 2,2000,2000,,,Lesser sand-eel,Ammodytes marinus,,,60,,"median across yr, study and colony (Tasker and Furness 1996, Furness and Tasker 1999, Wanless et al 1998)"
234,290,North Sea,North Sea (NE),North Sea (NE),Atlantic puffin,Fratercula arctica,North Sea (NE) Atlantic puffin,,Furness and Tasker 2000 Table 2,2000,2000,,,Lesser sand-eel,Ammodytes marinus,,,60,,"median across yr, study and colony (Tasker and Furness 1996, Furness and Tasker 1999, Wanless et al 1998)"
235,294,North Sea,North Sea (NE),North Sea (NE),Razorbill,Alca torda,North Sea (NE) Razorbill,,Furness and Tasker 2000 Table 2,2000,2000,,,Lesser sand-eel,Ammodytes marinus,,,60,,"median across yr, study and colony (Tasker and Furness 1996, Furness and Tasker 1999, Wanless et al 1998)"
236,297,North Sea,North Sea (S & SE),North Sea (S & SE),Arctic tern,Sterna paradisaea,North Sea (S & SE) Arctic tern,,Furness and Tasker 2000 Table 2,2000,2000,,,Lesser sand-eel,Ammodytes marinus,,,60,,"median across yr, study and colony (Tasker and Furness 1996, Furness and Tasker 1999, Wanless et al 1998)"
237,289,North Sea,North Sea (S & SE),North Sea (S & SE),Atlantic puffin,Fratercula arctica,North Sea (S & SE) Atlantic puffin,,Furness and Tasker 2000 Table 2,2000,2000,,,Lesser sand-eel,Ammodytes marinus,,,60,,"median across yr, study and colony (Tasker and Furness 1996, Furness and Tasker 1999, Wanless et al 1998)"
238,293,North Sea,North Sea (S & SE),North Sea (S & SE),Razorbill,Alca torda,North Sea (S & SE) Razorbill,,Furness and Tasker 2000 Table 2,2000,2000,,,Lesser sand-eel,Ammodytes marinus,,,60,,"median across yr, study and colony (Tasker and Furness 1996, Furness and Tasker 1999, Wanless et al 1998)"
239,177,North Sea,North Shields & Marsden,North Shields & Marsden,Black-legged kittiwake,Rissa tridactyla,North Shields & Marsden Black-legged kittiwake,Feb-Apr,"diet=Coulston and Thomas 1985 Table 4, # Figure 3",1968,1968,96.08753,nests with eggs,Sandeel spp.,Ammodytidae spp.,,,13,"adults, by weight",
240,183,North Sea,North Shields & Marsden,North Shields & Marsden,Black-legged kittiwake,Rissa tridactyla,North Shields & Marsden Black-legged kittiwake,Jun-Jul,"diet=Coulston and Thomas 1985 Table 4, # Figure 3",1968,1968,96.08753,nests with eggs,Sandeel spp.,Ammodytidae spp.,,,66,"chicks, by weight",
241,178,North Sea,North Shields & Marsden,North Shields & Marsden,Black-legged kittiwake,Rissa tridactyla,North Shields & Marsden Black-legged kittiwake,Feb-Apr,"diet=Coulston and Thomas 1985 Table 4, # Figure 3",1969,1969,89.990326,nests with eggs,Sandeel spp.,Ammodytidae spp.,,,13,"adults, by weight",
242,184,North Sea,North Shields & Marsden,North Shields & Marsden,Black-legged kittiwake,Rissa tridactyla,North Shields & Marsden Black-legged kittiwake,Jun-Jul,"diet=Coulston and Thomas 1985 Table 4, # Figure 3",1969,1969,89.990326,nests with eggs,Sandeel spp.,Ammodytidae spp.,,,66,"chicks, by weight",
243,179,North Sea,North Shields & Marsden,North Shields & Marsden,Black-legged kittiwake,Rissa tridactyla,North Shields & Marsden Black-legged kittiwake,Feb-Apr,"diet=Coulston and Thomas 1985 Table 4, # Figure 3",1970,1970,98.165764,nests with eggs,Sandeel spp.,Ammodytidae spp.,,,13,"adults, by weight",
244,185,North Sea,North Shields & Marsden,North Shields & Marsden,Black-legged kittiwake,Rissa tridactyla,North Shields & Marsden Black-legged kittiwake,Jun-Jul,"diet=Coulston and Thomas 1985 Table 4, # Figure 3",1970,1970,98.165764,nests with eggs,Sandeel spp.,Ammodytidae spp.,,,66,"chicks, by weight",
245,180,North Sea,North Shields & Marsden,North Shields & Marsden,Black-legged kittiwake,Rissa tridactyla,North Shields & Marsden Black-legged kittiwake,Feb-Apr,"diet=Coulston and Thomas 1985 Table 4, # Figure 3",1971,1971,83.80606,nests with eggs,Sandeel spp.,Ammodytidae spp.,,,13,"adults, by weight",
246,186,North Sea,North Shields & Marsden,North Shields & Marsden,Black-legged kittiwake,Rissa tridactyla,North Shields & Marsden Black-legged kittiwake,Jun-Jul,"diet=Coulston and Thomas 1985 Table 4, # Figure 3",1971,1971,83.80606,nests with eggs,Sandeel spp.,Ammodytidae spp.,,,66,"chicks, by weight",
247,181,North Sea,North Shields & Marsden,North Shields & Marsden,Black-legged kittiwake,Rissa tridactyla,North Shields & Marsden Black-legged kittiwake,Feb-Apr,"diet=Coulston and Thomas 1985 Table 4, # Figure 3",1972,1972,86.34741,nests with eggs,Sandeel spp.,Ammodytidae spp.,,,13,"adults, by weight",
248,187,North Sea,North Shields & Marsden,North Shields & Marsden,Black-legged kittiwake,Rissa tridactyla,North Shields & Marsden Black-legged kittiwake,Jun-Jul,"diet=Coulston and Thomas 1985 Table 4, # Figure 3",1972,1972,86.34741,nests with eggs,Sandeel spp.,Ammodytidae spp.,,,66,"chicks, by weight",
249,182,North Sea,North Shields & Marsden,North Shields & Marsden,Black-legged kittiwake,Rissa tridactyla,North Shields & Marsden Black-legged kittiwake,Feb-Apr,"diet=Coulston and Thomas 1985 Table 4, # Figure 3",1973,1973,79.12368,nests with eggs,Sandeel spp.,Ammodytidae spp.,,,13,"adults, by weight",
250,188,North Sea,North Shields & Marsden,North Shields & Marsden,Black-legged kittiwake,Rissa tridactyla,North Shields & Marsden Black-legged kittiwake,Jun-Jul,"diet=Coulston and Thomas 1985 Table 4, # Figure 3",1973,1973,79.12368,nests with eggs,Sandeel spp.,Ammodytidae spp.,,,66,"chicks, by weight",
251,296,North Sea,Peterhead,Peterhead,Arctic tern,Sterna paradisaea,Peterhead Arctic tern,,Furness and Tasker 2000 Table 2,2000,2000,,,Lesser sand-eel,Ammodytes marinus,,,80,,"median across yr, study and colony (Tasker and Furness 1996, Furness and Tasker 1999, Wanless et al 1998)"
252,288,North Sea,Peterhead,Peterhead,Atlantic puffin,Fratercula arctica,Peterhead Atlantic puffin,,Furness and Tasker 2000 Table 2,2000,2000,,,Lesser sand-eel,Ammodytes marinus,,,80,,"median across yr, study and colony (Tasker and Furness 1996, Furness and Tasker 1999, Wanless et al 1998)"
253,292,North Sea,Peterhead,Peterhead,Razorbill,Alca torda,Peterhead Razorbill,,Furness and Tasker 2000 Table 2,2000,2000,,,Lesser sand-eel,Ammodytes marinus,,,80,,"median across yr, study and colony (Tasker and Furness 1996, Furness and Tasker 1999, Wanless et al 1998)"
254,299,North Sea,Shetland,Shetland,Arctic skua,Stercorarius parasiticus,Shetland Arctic skua,,Furness and Tasker 2000 Table 2,2000,2000,,,Lesser sand-eel,Ammodytes marinus,,,100,,"median across yr, study and colony (Tasker and Furness 1996, Furness and Tasker 1999, Wanless et al 1998)"
255,295,North Sea,Shetland,Shetland,Arctic tern,Sterna paradisaea,Shetland Arctic tern,,Furness and Tasker 2000 Table 2,2000,2000,,,Lesser sand-eel,Ammodytes marinus,,,100,,"median across yr, study and colony (Tasker and Furness 1996, Furness and Tasker 1999, Wanless et al 1998)"
256,287,North Sea,Shetland,Shetland,Atlantic puffin,Fratercula arctica,Shetland Atlantic puffin,,Furness and Tasker 2000 Table 2,2000,2000,,,Lesser sand-eel,Ammodytes marinus,,,90,,"median across yr, study and colony (Tasker and Furness 1996, Furness and Tasker 1999, Wanless et al 1998)"
257,222,North Sea,Shetland,Shetland,Black-legged kittiwake,Rissa tridactyla,Shetland Black-legged kittiwake,,Dunnet and Heubeck 1995 Table 7,1976,1976,2126,max number of AON,,,,,,,"abundance is sum of Sumburgh, Troswick, Eshaness and Burravoe (AON-apparently occupied nest)"
258,223,North Sea,Shetland,Shetland,Black-legged kittiwake,Rissa tridactyla,Shetland Black-legged kittiwake,,Dunnet and Heubeck 1995 Table 7,1977,1977,1883,max number of AON,,,,,,,"abundance is sum of Sumburgh, Troswick, Eshaness (AON-apparently occupied nest)"
259,224,North Sea,Shetland,Shetland,Black-legged kittiwake,Rissa tridactyla,Shetland Black-legged kittiwake,,Dunnet and Heubeck 1995 Table 7,1978,1978,1914,max number of AON,,,,,,,"abundance is sum of Sumburgh, Troswick, Eshaness and Burravoe (AON-apparently occupied nest)"
260,225,North Sea,Shetland,Shetland,Black-legged kittiwake,Rissa tridactyla,Shetland Black-legged kittiwake,,Dunnet and Heubeck 1995 Table 7,1979,1979,1746,max number of AON,,,,,,,"abundance is sum of Sumburgh, Troswick, Eshaness and Burravoe (AON-apparently occupied nest)"
261,226,North Sea,Shetland,Shetland,Black-legged kittiwake,Rissa tridactyla,Shetland Black-legged kittiwake,,Dunnet and Heubeck 1995 Table 7,1980,1980,1840,max number of AON,,,,,,,"abundance is sum of Sumburgh, Troswick, Eshaness and Burravoe (AON-apparently occupied nest)"
262,227,North Sea,Shetland,Shetland,Black-legged kittiwake,Rissa tridactyla,Shetland Black-legged kittiwake,,Dunnet and Heubeck 1995 Table 7,1981,1981,1704,max number of AON,,,,,,,"abundance is sum of Sumburgh, Troswick, Eshaness and Burravoe (AON-apparently occupied nest)"
263,228,North Sea,Shetland,Shetland,Black-legged kittiwake,Rissa tridactyla,Shetland Black-legged kittiwake,,Dunnet and Heubeck 1995 Table 7,1982,1982,1613,max number of AON,,,,,,,"abundance is sum of Sumburgh, Troswick, Eshaness and Burravoe (AON-apparently occupied nest)"
264,229,North Sea,Shetland,Shetland,Black-legged kittiwake,Rissa tridactyla,Shetland Black-legged kittiwake,,Dunnet and Heubeck 1995 Table 7,1983,1983,1548,max number of AON,,,,,,,"abundance is sum of Sumburgh, Troswick, Eshaness and Burravoe (AON-apparently occupied nest)"
265,230,North Sea,Shetland,Shetland,Black-legged kittiwake,Rissa tridactyla,Shetland Black-legged kittiwake,,Dunnet and Heubeck 1995 Table 7,1984,1984,1384,max number of AON,,,,,,,"abundance is sum of Sumburgh, Troswick, Eshaness and Burravoe (AON-apparently occupied nest)"
266,231,North Sea,Shetland,Shetland,Black-legged kittiwake,Rissa tridactyla,Shetland Black-legged kittiwake,,Dunnet and Heubeck 1995 Table 7,1985,1985,1270,max number of AON,,,,,,,"abundance is sum of Sumburgh, Troswick, Eshaness and Burravoe (AON-apparently occupied nest)"
267,232,North Sea,Shetland,Shetland,Black-legged kittiwake,Rissa tridactyla,Shetland Black-legged kittiwake,,Dunnet and Heubeck 1995 Table 7,1986,1986,1269,max number of AON,,,,,,,"abundance is sum of Sumburgh, Troswick, Eshaness and Burravoe (AON-apparently occupied nest)"
268,233,North Sea,Shetland,Shetland,Black-legged kittiwake,Rissa tridactyla,Shetland Black-legged kittiwake,,Dunnet and Heubeck 1995 Table 7,1987,1987,1632,max number of AON,,,,,,,"abundance is sum of Sumburgh, Troswick, Eshaness and Burravoe (AON-apparently occupied nest)"
269,234,North Sea,Shetland,Shetland,Black-legged kittiwake,Rissa tridactyla,Shetland Black-legged kittiwake,,Dunnet and Heubeck 1995 Table 7,1988,1988,1503,max number of AON,,,,,,,"abundance is sum of Sumburgh, Troswick, Eshaness (AON-apparently occupied nest)"
270,235,North Sea,Shetland,Shetland,Common guillemot,Uria aalge,Shetland Common guillemot,,Dunnet and Heubeck 1995 Figure 8,1975.986,1976,103.90841,index,,,,,,,abundance is mean colony index over all colonies where 1978=100
271,236,North Sea,Shetland,Shetland,Common guillemot,Uria aalge,Shetland Common guillemot,,Dunnet and Heubeck 1995 Figure 8,1977.0203,1977,104.99582,index,,,,,,,abundance is mean colony index over all colonies where 1978=100
272,237,North Sea,Shetland,Shetland,Common guillemot,Uria aalge,Shetland Common guillemot,,Dunnet and Heubeck 1995 Figure 8,1978.0094,1978,107.58008,index,,,,,,,abundance is mean colony index over all colonies where 1978=100
273,238,North Sea,Shetland,Shetland,Common guillemot,Uria aalge,Shetland Common guillemot,,Dunnet and Heubeck 1995 Figure 8,1978.9971,1979,107.36058,index,,,,,,,abundance is mean colony index over all colonies where 1978=100
274,239,North Sea,Shetland,Shetland,Common guillemot,Uria aalge,Shetland Common guillemot,,Dunnet and Heubeck 1995 Figure 8,1980.031,1980,107.5134,index,,,,,,,abundance is mean colony index over all colonies where 1978=100
275,240,North Sea,Shetland,Shetland,Common guillemot,Uria aalge,Shetland Common guillemot,,Dunnet and Heubeck 1995 Figure 8,1981.0228,1981,115.51827,index,,,,,,,abundance is mean colony index over all colonies where 1978=100
276,241,North Sea,Shetland,Shetland,Common guillemot,Uria aalge,Shetland Common guillemot,,Dunnet and Heubeck 1995 Figure 8,1982.0333,1982,115.11109,index,,,,,,,abundance is mean colony index over all colonies where 1978=100
277,242,North Sea,Shetland,Shetland,Common guillemot,Uria aalge,Shetland Common guillemot,,Dunnet and Heubeck 1995 Figure 8,1983.0193,1983,111.34016,index,,,,,,,abundance is mean colony index over all colonies where 1978=100
278,243,North Sea,Shetland,Shetland,Common guillemot,Uria aalge,Shetland Common guillemot,,Dunnet and Heubeck 1995 Figure 8,1983.9814,1984,105.7008,index,,,,,,,abundance is mean colony index over all colonies where 1978=100
279,244,North Sea,Shetland,Shetland,Common guillemot,Uria aalge,Shetland Common guillemot,,Dunnet and Heubeck 1995 Figure 8,1984.9619,1985,91.08864,index,,,,,,,abundance is mean colony index over all colonies where 1978=100
280,245,North Sea,Shetland,Shetland,Common guillemot,Uria aalge,Shetland Common guillemot,,Dunnet and Heubeck 1995 Figure 8,1985.9463,1986,83.95318,index,,,,,,,abundance is mean colony index over all colonies where 1978=100
281,246,North Sea,Shetland,Shetland,Common guillemot,Uria aalge,Shetland Common guillemot,,Dunnet and Heubeck 1995 Figure 8,1986.9333,1987,82.612175,index,,,,,,,abundance is mean colony index over all colonies where 1978=100
282,247,North Sea,Shetland,Shetland,Common guillemot,Uria aalge,Shetland Common guillemot,,Dunnet and Heubeck 1995 Figure 8,1987.942,1988,78.279724,index,,,,,,,abundance is mean colony index over all colonies where 1978=100
283,248,North Sea,Shetland,Shetland,Common guillemot,Uria aalge,Shetland Common guillemot,,Dunnet and Heubeck 1995 Figure 8,1988.9259,1989,70.20968,index,,,,,,,abundance is mean colony index over all colonies where 1978=100
284,249,North Sea,Shetland,Shetland,Common guillemot,Uria aalge,Shetland Common guillemot,,Dunnet and Heubeck 1995 Figure 8,1989.9285,1990,53.727585,index,,,,,,,abundance is mean colony index over all colonies where 1978=100
285,250,North Sea,Shetland,Shetland,Common guillemot,Uria aalge,Shetland Common guillemot,,Dunnet and Heubeck 1995 Figure 8,1990.9235,1991,68.08766,index,,,,,,,abundance is mean colony index over all colonies where 1978=100
286,251,North Sea,Shetland,Shetland,Common guillemot,Uria aalge,Shetland Common guillemot,,Dunnet and Heubeck 1995 Figure 8,1991.9421,1992,83.7554,index,,,,,,,abundance is mean colony index over all colonies where 1978=100
287,252,North Sea,Shetland,Shetland,Common guillemot,Uria aalge,Shetland Common guillemot,,Dunnet and Heubeck 1995 Figure 8,1992.9751,1993,82.22596,index,,,,,,,abundance is mean colony index over all colonies where 1978=100
288,291,North Sea,Shetland,Shetland,Razorbill,Alca torda,Shetland Razorbill,,Furness and Tasker 2000 Table 2,2000,2000,,,Lesser sand-eel,Ammodytes marinus,,,90,,"median across yr, study and colony (Tasker and Furness 1996, Furness and Tasker 1999, Wanless et al 1998)"
289,189,North Sea,Sumburgh,Sumburgh,European shag,Phalacrocorax aristotelis,Sumburgh European shag,,Dunnet and Heubeck 1995 Table 4,1977,1977,,max number of nests,,,,,,,
290,190,North Sea,Sumburgh,Sumburgh,European shag,Phalacrocorax aristotelis,Sumburgh European shag,,Dunnet and Heubeck 1995 Table 4,1978,1978,313,max number of nests,,,,,,,
291,191,North Sea,Sumburgh,Sumburgh,European shag,Phalacrocorax aristotelis,Sumburgh European shag,,Dunnet and Heubeck 1995 Table 4,1979,1979,300,max number of nests,,,,,,,
292,192,North Sea,Sumburgh,Sumburgh,European shag,Phalacrocorax aristotelis,Sumburgh European shag,,Dunnet and Heubeck 1995 Table 4,1980,1980,340,max number of nests,,,,,,,
293,193,North Sea,Sumburgh,Sumburgh,European shag,Phalacrocorax aristotelis,Sumburgh European shag,,Dunnet and Heubeck 1995 Table 4,1981,1981,312,max number of nests,,,,,,,
294,194,North Sea,Sumburgh,Sumburgh,European shag,Phalacrocorax aristotelis,Sumburgh European shag,,Dunnet and Heubeck 1995 Table 4,1982,1982,288,max number of nests,,,,,,,
295,195,North Sea,Sumburgh,Sumburgh,European shag,Phalacrocorax aristotelis,Sumburgh European shag,,Dunnet and Heubeck 1995 Table 4,1983,1983,277,max number of nests,,,,,,,
296,196,North Sea,Sumburgh,Sumburgh,European shag,Phalacrocorax aristotelis,Sumburgh European shag,,Dunnet and Heubeck 1995 Table 4,1984,1984,271,max number of nests,,,,,,,
297,197,North Sea,Sumburgh,Sumburgh,European shag,Phalacrocorax aristotelis,Sumburgh European shag,,Dunnet and Heubeck 1995 Table 4,1985,1985,290,max number of nests,,,,,,,
298,198,North Sea,Sumburgh,Sumburgh,European shag,Phalacrocorax aristotelis,Sumburgh European shag,,Dunnet and Heubeck 1995 Table 4,1986,1986,255,max number of nests,,,,,,,
299,199,North Sea,Sumburgh,Sumburgh,European shag,Phalacrocorax aristotelis,Sumburgh European shag,,Dunnet and Heubeck 1995 Table 4,1987,1987,277,max number of nests,,,,,,,
300,200,North Sea,Troswick,Troswick,European shag,Phalacrocorax aristotelis,Troswick European shag,,Dunnet and Heubeck 1995 Table 4,1977,1977,12,max number of nests,,,,,,,
301,201,North Sea,Troswick,Troswick,European shag,Phalacrocorax aristotelis,Troswick European shag,,Dunnet and Heubeck 1995 Table 4,1978,1978,13,max number of nests,,,,,,,
302,202,North Sea,Troswick,Troswick,European shag,Phalacrocorax aristotelis,Troswick European shag,,Dunnet and Heubeck 1995 Table 4,1979,1979,10,max number of nests,,,,,,,
303,203,North Sea,Troswick,Troswick,European shag,Phalacrocorax aristotelis,Troswick European shag,,Dunnet and Heubeck 1995 Table 4,1980,1980,10,max number of nests,,,,,,,
304,204,North Sea,Troswick,Troswick,European shag,Phalacrocorax aristotelis,Troswick European shag,,Dunnet and Heubeck 1995 Table 4,1981,1981,12,max number of nests,,,,,,,
305,205,North Sea,Troswick,Troswick,European shag,Phalacrocorax aristotelis,Troswick European shag,,Dunnet and Heubeck 1995 Table 4,1982,1982,14,max number of nests,,,,,,,
306,206,North Sea,Troswick,Troswick,European shag,Phalacrocorax aristotelis,Troswick European shag,,Dunnet and Heubeck 1995 Table 4,1983,1983,14,max number of nests,,,,,,,
307,207,North Sea,Troswick,Troswick,European shag,Phalacrocorax aristotelis,Troswick European shag,,Dunnet and Heubeck 1995 Table 4,1984,1984,15,max number of nests,,,,,,,
308,208,North Sea,Troswick,Troswick,European shag,Phalacrocorax aristotelis,Troswick European shag,,Dunnet and Heubeck 1995 Table 4,1985,1985,13,max number of nests,,,,,,,
309,209,North Sea,Troswick,Troswick,European shag,Phalacrocorax aristotelis,Troswick European shag,,Dunnet and Heubeck 1995 Table 4,1986,1986,10,max number of nests,,,,,,,
310,210,North Sea,Troswick,Troswick,European shag,Phalacrocorax aristotelis,Troswick European shag,,Dunnet and Heubeck 1995 Table 4,1987,1987,12,max number of nests,,,,,,,
311,349,Norway,Barents Sea,Barents Sea,Atlantic cod,Gadus morhua,Barents Sea Atlantic cod,,Blanchard et al 2002 Table 8,1990,1990,,,Capelin,Mallotus villosus,,2+,20.71,1990-year of high capelin abundance,
312,350,Norway,Barents Sea,Barents Sea,Atlantic cod,Gadus morhua,Barents Sea Atlantic cod,,Blanchard et al 2002 Table 8,1990,1990,,,Capelin,Mallotus villosus,,1,20.71,1990-year of high capelin abundance,
313,351,Norway,Barents Sea,Barents Sea,Atlantic cod,Gadus morhua,Barents Sea Atlantic cod,,Blanchard et al 2002 Table 8,1995,1995,,,Capelin,Mallotus villosus,,2+,7.2,1995-year of low capelin abundance,
314,352,Norway,Barents Sea,Barents Sea,Atlantic cod,Gadus morhua,Barents Sea Atlantic cod,,Blanchard et al 2002 Table 8,1995,1995,,,Capelin,Mallotus villosus,,1,7.2,1995-year of low capelin abundance,
315,343,Norway,Barents Sea,Barents Sea,Common minke whale,Balaenoptera acutorostrata,Barents Sea Common minke whale,,Blanchard et al 2002 Table 8,1990,1990,,,Capelin,Mallotus villosus,,2+,14.87,1990-year of high capelin abundance,
316,344,Norway,Barents Sea,Barents Sea,Common minke whale,Balaenoptera acutorostrata,Barents Sea Common minke whale,,Blanchard et al 2002 Table 8,1990,1990,,,Capelin,Mallotus villosus,,1,6.33,1990-year of high capelin abundance,
317,353,Norway,Barents Sea,Barents Sea,Common minke whale,Balaenoptera acutorostrata,Barents Sea Common minke whale,,Blanchard et al 2002 Table 8,1990,1990,,,Atlantic herring,Clupea harengus,,1-3,39.9,1990-year of high capelin abundance,
318,345,Norway,Barents Sea,Barents Sea,Common minke whale,Balaenoptera acutorostrata,Barents Sea Common minke whale,,Blanchard et al 2002 Table 8,1995,1995,,,Capelin,Mallotus villosus,,2+,4.7,1995-year of low capelin abundance,
319,346,Norway,Barents Sea,Barents Sea,Common minke whale,Balaenoptera acutorostrata,Barents Sea Common minke whale,,Blanchard et al 2002 Table 8,1995,1995,,,Capelin,Mallotus villosus,,1,2,1995-year of low capelin abundance,
320,354,Norway,Barents Sea,Barents Sea,Common minke whale,Balaenoptera acutorostrata,Barents Sea Common minke whale,,Blanchard et al 2002 Table 8,1995,1995,,,Atlantic herring,Clupea harengus,,1-3,38.4,1995-year of low capelin abundance,
321,347,Norway,Barents Sea,Barents Sea,Harp seal,Pagophilus groenlandicus,Barents Sea Harp seal,,Blanchard et al 2002 Table 8,1990,1990,,,Capelin,Mallotus villosus,,2+,33,1990-year of high capelin abundance,
322,355,Norway,Barents Sea,Barents Sea,Harp seal,Pagophilus groenlandicus,Barents Sea Harp seal,,Blanchard et al 2002 Table 8,1990,1990,,,Atlantic herring,Clupea harengus,,1-3,10.17,1990-year of high capelin abundance,
323,348,Norway,Barents Sea,Barents Sea,Harp seal,Pagophilus groenlandicus,Barents Sea Harp seal,,Blanchard et al 2002 Table 8,1995,1995,,,Capelin,Mallotus villosus,,2+,1,1995-year of low capelin abundance,
324,356,Norway,Barents Sea,Barents Sea,Harp seal,Pagophilus groenlandicus,Barents Sea Harp seal,,Blanchard et al 2002 Table 8,1995,1995,,,Atlantic herring,Clupea harengus,,4+,10,1995-year of low capelin abundance,
325,357,Norway,Barents Sea,Barents Sea,Harp seal,Pagophilus groenlandicus,Barents Sea Harp seal,,Blanchard et al 2002 Table 8,1995,1995,,,Atlantic herring,Clupea harengus,,1-3,7.3,1995-year of low capelin abundance,
326,57,Norway,Hernyken,Hernyken,Atlantic puffin,Fratercula arctica,Hernyken Atlantic puffin,,Anker-Nilssen and Aarvak 2006 Tabell 3.1,1983,1983,79680,apparently occupied burrows,,,,,,,
327,58,Norway,Hernyken,Hernyken,Atlantic puffin,Fratercula arctica,Hernyken Atlantic puffin,,Anker-Nilssen and Aarvak 2006 Tabell 3.1,1984,1984,68920,apparently occupied burrows,,,,,,,
328,59,Norway,Hernyken,Hernyken,Atlantic puffin,Fratercula arctica,Hernyken Atlantic puffin,,Anker-Nilssen and Aarvak 2006 Tabell 3.1,1985,1985,60560,apparently occupied burrows,,,,,,,
329,60,Norway,Hernyken,Hernyken,Atlantic puffin,Fratercula arctica,Hernyken Atlantic puffin,,Anker-Nilssen and Aarvak 2006 Tabell 3.1,1986,1986,53640,apparently occupied burrows,,,,,,,
330,61,Norway,Hernyken,Hernyken,Atlantic puffin,Fratercula arctica,Hernyken Atlantic puffin,,Anker-Nilssen and Aarvak 2006 Tabell 3.1,1987,1987,44240,apparently occupied burrows,,,,,,,
331,62,Norway,Hernyken,Hernyken,Atlantic puffin,Fratercula arctica,Hernyken Atlantic puffin,,Anker-Nilssen and Aarvak 2006 Tabell 3.1,1988,1988,43160,apparently occupied burrows,,,,,,,
332,63,Norway,Hernyken,Hernyken,Atlantic puffin,Fratercula arctica,Hernyken Atlantic puffin,,Anker-Nilssen and Aarvak 2006 Tabell 3.1,1989,1989,45760,apparently occupied burrows,,,,,,,
333,64,Norway,Hernyken,Hernyken,Atlantic puffin,Fratercula arctica,Hernyken Atlantic puffin,,Anker-Nilssen and Aarvak 2006 Tabell 3.1,1990,1990,55040,apparently occupied burrows,,,,,,,
334,65,Norway,Hernyken,Hernyken,Atlantic puffin,Fratercula arctica,Hernyken Atlantic puffin,,Anker-Nilssen and Aarvak 2006 Tabell 3.1,1991,1991,50120,apparently occupied burrows,,,,,,,
