region,area,location,comm_name,sci_name,reference,year,n,n_units,catch,catch_units,Date,NB Notes
North Sea,Channel Islands,Burhou,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,2011,23,Occupied nests,,,,
North Sea,Channel Islands,Burhou,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,2012,4,Occupied nests,,,,
North Sea,Channel Islands,Burhou,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,2013,1,Occupied nests,,,,
North Sea,Channel Islands,Burhou,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,2014,6,Occupied nests,,,,
North Sea,Channel Islands,Jersey,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,2015,120,Occupied nests,,,,
North Sea,Channel Islands,Jersey (roof-nesting gulls),Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,2015,4,Occupied nests,,,,
North Sea,Channel Islands,Brecqhou,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,2015,10,Occupied nests,,,,
North Sea,Channel Islands,Guernsey Southwest,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,2015,26,Occupied nests,,,,
North Sea,Channel Islands,Lihou Island,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,2015,2,Occupied nests,,,,
North Sea,Channel Islands,Lihou Island,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,2015,18,Occupied nests,,,,
North Sea,Channel Islands,Lihou Island,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,2015,2,Occupied nests,,,,
North Sea,Channel Islands,Omptolle,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,2015,5,Occupied nests,,,,
North Sea,Channel Islands,Paradis,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,2015,3,Occupied nests,,,,
North Sea,Channel Islands,Herm,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,2015,11,Occupied nests,,,,
North Sea,Channel Islands,Les Amfroques,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,2015,37,Occupied nests,,,,
North Sea,Channel Islands,Agois,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,2015,4,Occupied nests,,,,
North Sea,Channel Islands,Corbiere South,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,2015,2,Occupied nests,,,,
North Sea,Channel Islands,Devil's Hole,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,2015,21,Occupied nests,,,,
North Sea,Channel Islands,Elizabeth Castle,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,2015,9,Occupied territory,,,,
North Sea,Channel Islands,Icho Tower,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,2015,10,Occupied nests,,,,
North Sea,Channel Islands,La Chretienne,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,2015,3,Occupied nests,,,,
North Sea,Channel Islands,La Moye Point West,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,2015,2,Occupied nests,,,,
North Sea,Channel Islands,La Tour de Rozel,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,2015,1,Occupied nests,,,,
North Sea,Channel Islands,Les Ecrehous,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,2015,50,Occupied nests,,,,
North Sea,Channel Islands,Les Minquiers,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,2015,4,Occupied nests,,,,
North Sea,Channel Islands,Noirmont,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,2015,3,Occupied nests,,,,
North Sea,Channel Islands,Plemont E.,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,2015,2,Occupied nests,,,,
North Sea,Channel Islands,Portelet Headland,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,2015,2,Occupied nests,,,,
North Sea,Channel Islands,Jethou,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,2015,43,Occupied nests,,,,
North Sea,Channel Islands,Little Sark,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,2015,18,Occupied nests,,,,
North Sea,Channel Islands,Sark,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,2015,24,Occupied nests,,,,
North Sea,Channel Islands,Plemont,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,2016,3,Occupied nests,,,,
North Sea,Channel Islands,Burhou,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1999-2000,27,Occupied territory,,,,
North Sea,Channel Islands,Brecqhou,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1999-2000,5,Occupied territory,,,,
North Sea,Channel Islands,Guernsey (East),Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1999-2000,15,Occupied sites,,,,
North Sea,Channel Islands,Guernsey (West),Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1999-2000,18,Occupied sites,,,,
North Sea,Channel Islands,Lihou Island,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1999-2000,50,Occupied sites,,,,
North Sea,Channel Islands,Herm,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1999-2000,6,Occupied sites,,,,
North Sea,Channel Islands,Les Amfroques,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1999-2000,30,Occupied sites,,,,
North Sea,Channel Islands,Jethou,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1999-2000,35,Occupied sites,,,,
North Sea,Channel Islands,Sark,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1999-2000,23,Occupied sites,,,,
North Sea,Channel Islands,Jersey (roof-nesting gulls),Herring Gull,Larus argentatus,JNCC Channel Islands 11.15 NB,1976,1,Occ. nests/sites,,,,
North Sea,Channel Islands,Lihou Island,Herring Gull,Larus argentatus,JNCC Channel Islands 11.15 NB,1986,3,Occupied nests,,,,
North Sea,Channel Islands,Herm,Herring Gull,Larus argentatus,JNCC Channel Islands 11.15 NB,1986,29,Individuals on land,,,,
