stocklong,year,SSB,R,TB,Abundance,AbundanceType
Pacific sardine Pacific Coast,1981,1353,2.20E+07,1404,1404,TB
Pacific sardine Pacific Coast,1982,1948.1,4.80E+07,2013,2013,TB
Pacific sardine Pacific Coast,1983,2858.5,9.90E+07,2891,2891,TB
Pacific sardine Pacific Coast,1984,3137.6,1.16E+08,5445,5445,TB
Pacific sardine Pacific Coast,1985,5881.3,1.47E+08,6420,6420,TB
Pacific sardine Pacific Coast,1986,10305,5.53E+08,10053,10053,TB
Pacific sardine Pacific Coast,1987,22315,9.77E+08,22622,22622,TB
Pacific sardine Pacific Coast,1988,49601,1.12E+09,48341,48341,TB
Pacific sardine Pacific Coast,1989,75769,1.12E+09,84604,84604,TB
Pacific sardine Pacific Coast,1990,100880,2.39E+09,111509,111509,TB
Pacific sardine Pacific Coast,1991,137650,3.82E+09,158755,158755,TB
Pacific sardine Pacific Coast,1992,193910,2.57E+09,243062,243062,TB
Pacific sardine Pacific Coast,1993,257330,7.36E+09,272461,272461,TB
Pacific sardine Pacific Coast,1994,413670,1.13E+10,430463,430463,TB
Pacific sardine Pacific Coast,1995,655040,4.38E+09,702406,702406,TB
Pacific sardine Pacific Coast,1996,761500,5.58E+09,864060,864060,TB
Pacific sardine Pacific Coast,1997,743770,1.14E+10,917855,917855,TB
Pacific sardine Pacific Coast,1998,904690,2.46E+10,1002920,1002920,TB
Pacific sardine Pacific Coast,1999,1368800,5.20E+09,1495910,1495910,TB
Pacific sardine Pacific Coast,2000,1462200,2.60E+09,1713280,1713280,TB
Pacific sardine Pacific Coast,2001,1251100,9.67E+09,1548940,1548940,TB
Pacific sardine Pacific Coast,2002,1087900,1.56E+09,1397530,1397530,TB
Pacific sardine Pacific Coast,2003,913190,1.65E+10,1137720,1137720,TB
Pacific sardine Pacific Coast,2004,997300,5.16E+09,1211000,1211000,TB
Pacific sardine Pacific Coast,2005,972300,5.28E+09,1219480,1219480,TB
Pacific sardine Pacific Coast,2006,826660,1.01E+09,1101890,1101890,TB
Pacific sardine Pacific Coast,2007,566220,3.68E+09,832706,832706,TB
Northern Anchovy,1951,15.5,0.028,NA,15.5,SSB
Northern Anchovy,1952,11.1,0.02,NA,11.1,SSB
Northern Anchovy,1953,14.3,0.026,NA,14.3,SSB
Northern Anchovy,1954,97.5,0.174,NA,97.5,SSB
Northern Anchovy,1955,88.3,0.158,NA,88.3,SSB
Northern Anchovy,1956,34,0.061,NA,34,SSB
Northern Anchovy,1957,972.3,1.739,NA,972.3,SSB
Northern Anchovy,1958,438.3,0.784,NA,438.3,SSB
Northern Anchovy,1959,539.6,0.965,NA,539.6,SSB
Northern Anchovy,1960,510,0.912,NA,510,SSB
Northern Anchovy,1961,253.3,0.453,NA,253.3,SSB
Northern Anchovy,1962,675.2,1.207,NA,675.2,SSB
Northern Anchovy,1963,1145.4,2.048,NA,1145.4,SSB
Northern Anchovy,1964,2070.9,3.704,NA,2070.9,SSB
Northern Anchovy,1965,1976.3,3.534,NA,1976.3,SSB
Northern Anchovy,1966,2093.6,3.744,NA,2093.6,SSB
Northern Anchovy,1967,550.127451,0.983823529,NA,550.127451,SSB
Northern Anchovy,1968,465.1,0.832,NA,465.1,SSB
Northern Anchovy,1969,1173.8,2.099,NA,1173.8,SSB
Northern Anchovy,1970,550.127451,0.983823529,NA,550.127451,SSB
Northern Anchovy,1971,550.127451,0.983823529,NA,550.127451,SSB
Northern Anchovy,1972,399.2,0.714,NA,399.2,SSB
Northern Anchovy,1973,550.127451,0.983823529,NA,550.127451,SSB
Northern Anchovy,1974,550.127451,0.983823529,NA,550.127451,SSB
Northern Anchovy,1975,1892.7,3.385,NA,1892.7,SSB
Northern Anchovy,1976,550.127451,0.983823529,NA,550.127451,SSB
Northern Anchovy,1977,550.127451,0.983823529,NA,550.127451,SSB
Northern Anchovy,1978,495.5,0.886,NA,495.5,SSB
Northern Anchovy,1979,453.1,0.81,NA,453.1,SSB
Northern Anchovy,1980,550.127451,0.983823529,NA,550.127451,SSB
Northern Anchovy,1981,634.5,1.135,NA,634.5,SSB
Northern Anchovy,1982,330.5,0.591,NA,330.5,SSB
Northern Anchovy,1983,550.127451,0.983823529,NA,550.127451,SSB
Northern Anchovy,1984,415.5,0.743,NA,415.5,SSB
Northern Anchovy,1985,550.127451,0.983823529,NA,550.127451,SSB
Northern Anchovy,1986,2106.6,3.767,NA,2106.6,SSB
Northern Anchovy,1987,483.4,0.865,NA,483.4,SSB
Northern Anchovy,1988,703.9,1.259,NA,703.9,SSB
Northern Anchovy,1989,173.9,0.311,NA,173.9,SSB
Northern Anchovy,1990,76,0.136,NA,76,SSB
Northern Anchovy,1991,394.8,0.706,NA,394.8,SSB
Northern Anchovy,1992,142.2,0.254,NA,142.2,SSB
Northern Anchovy,1993,128.4,0.23,NA,128.4,SSB
Northern Anchovy,1994,369.4,0.661,NA,369.4,SSB
Northern Anchovy,1995,146.2,0.261,NA,146.2,SSB
Northern Anchovy,1996,452.6,0.809,NA,452.6,SSB
Northern Anchovy,1997,261.4,0.468,NA,261.4,SSB
Northern Anchovy,1998,100,0.179,NA,100,SSB
Northern Anchovy,1999,197.6,0.353,NA,197.6,SSB
Northern Anchovy,2000,186.2,0.333,NA,186.2,SSB
Northern Anchovy,2001,371.7,0.665,NA,371.7,SSB
Northern Anchovy,2002,164.3,0.294,NA,164.3,SSB
Northern Anchovy,2003,127.6,0.228,NA,127.6,SSB
Northern Anchovy,2004,599.6,1.072,NA,599.6,SSB
Northern Anchovy,2005,2002.5,3.581,NA,2002.5,SSB
Northern Anchovy,2006,1263.6,2.26,NA,1263.6,SSB
Northern Anchovy,2007,213.2,0.381,NA,213.2,SSB
Northern Anchovy,2008,146.6,0.262,NA,146.6,SSB
Northern Anchovy,2009,18.7,0.033,NA,18.7,SSB
Northern Anchovy,2010,15,0.027,NA,15,SSB
Northern Anchovy,2011,15.6,0.028,NA,15.6,SSB
California Market Squid,1980,NA,23491,5304,5304,TL
California Market Squid,1981,NA,12124,23491,23491,TL
California Market Squid,1982,NA,1137,12124,12124,TL
California Market Squid,1983,NA,1137,1137,1137,TL
California Market Squid,1984,NA,13072,1137,1137,TL
California Market Squid,1985,NA,23302,13072,13072,TL
California Market Squid,1986,NA,22923,23302,23302,TL
California Market Squid,1987,NA,43572,22923,22923,TL
California Market Squid,1988,NA,29932,43572,43572,TL
California Market Squid,1989,NA,29175,29932,29932,TL
California Market Squid,1990,NA,35047,29175,29175,TL
California Market Squid,1991,NA,17050,35047,35047,TL
California Market Squid,1992,NA,49635,17050,17050,TL
California Market Squid,1993,NA,57970,49635,49635,TL
California Market Squid,1994,NA,85250,57970,57970,TL
California Market Squid,1995,NA,112910,85250,85250,TL
California Market Squid,1996,NA,9662,112910,112910,TL
California Market Squid,1997,NA,10609,9662,9662,TL
California Market Squid,1998,NA,115560,10609,10609,TL
California Market Squid,1999,NA,112910,115560,115560,TL
California Market Squid,2000,NA,93207,112910,112910,TL
California Market Squid,2001,NA,42815,93207,93207,TL
California Market Squid,2002,NA,54560,42815,42815,TL
California Market Squid,2003,NA,48877,54560,54560,TL
California Market Squid,2004,NA,73505,48877,48877,TL
California Market Squid,2005,NA,31827,73505,73505,TL
California Market Squid,2006,NA,NA,31827,31827,TL
Shortfin squid Atlantic Coast,1967,0.242,NA,NA,0.242,SSB
Shortfin squid Atlantic Coast,1968,0.307,NA,NA,0.307,SSB
Shortfin squid Atlantic Coast,1969,0.073,NA,NA,0.073,SSB
Shortfin squid Atlantic Coast,1970,0.268,NA,NA,0.268,SSB
Shortfin squid Atlantic Coast,1971,0.337,NA,NA,0.337,SSB
Shortfin squid Atlantic Coast,1972,0.292,NA,NA,0.292,SSB
Shortfin squid Atlantic Coast,1973,0.353,NA,NA,0.353,SSB
Shortfin squid Atlantic Coast,1974,0.392,NA,NA,0.392,SSB
Shortfin squid Atlantic Coast,1975,1.417,NA,NA,1.417,SSB
Shortfin squid Atlantic Coast,1976,7.018,NA,NA,7.018,SSB
Shortfin squid Atlantic Coast,1977,3.74,NA,NA,3.74,SSB
Shortfin squid Atlantic Coast,1978,4.529,NA,NA,4.529,SSB
Shortfin squid Atlantic Coast,1979,6.053,NA,NA,6.053,SSB
Shortfin squid Atlantic Coast,1980,3.285,NA,NA,3.285,SSB
Shortfin squid Atlantic Coast,1981,9.34,NA,NA,9.34,SSB
Shortfin squid Atlantic Coast,1982,0.602,NA,NA,0.602,SSB
Shortfin squid Atlantic Coast,1983,0.233,NA,NA,0.233,SSB
Shortfin squid Atlantic Coast,1984,0.519,NA,NA,0.519,SSB
Shortfin squid Atlantic Coast,1985,0.355,NA,NA,0.355,SSB
Shortfin squid Atlantic Coast,1986,0.257,NA,NA,0.257,SSB
Shortfin squid Atlantic Coast,1987,1.527,NA,NA,1.527,SSB
Shortfin squid Atlantic Coast,1988,2.997,NA,NA,2.997,SSB
Shortfin squid Atlantic Coast,1989,3.307,NA,NA,3.307,SSB
Shortfin squid Atlantic Coast,1990,2.401,NA,NA,2.401,SSB
Shortfin squid Atlantic Coast,1991,0.691,NA,NA,0.691,SSB
Shortfin squid Atlantic Coast,1992,0.804,NA,NA,0.804,SSB
Shortfin squid Atlantic Coast,1993,1.595,NA,NA,1.595,SSB
Shortfin squid Atlantic Coast,1994,0.86,NA,NA,0.86,SSB
Shortfin squid Atlantic Coast,1995,0.7,NA,NA,0.7,SSB
Shortfin squid Atlantic Coast,1996,0.926,NA,NA,0.926,SSB
Shortfin squid Atlantic Coast,1997,0.521,NA,NA,0.521,SSB
Shortfin squid Atlantic Coast,1998,1.4,NA,NA,1.4,SSB
Shortfin squid Atlantic Coast,1999,0.192,NA,NA,0.192,SSB
Shortfin squid Atlantic Coast,2000,0.706,NA,NA,0.706,SSB
Shortfin squid Atlantic Coast,2001,0.323,NA,NA,0.323,SSB
Shortfin squid Atlantic Coast,2002,0.444,NA,NA,0.444,SSB
Shortfin squid Atlantic Coast,2003,1.946,NA,NA,1.946,SSB
Shortfin squid Atlantic Coast,2004,0.412,NA,NA,0.412,SSB
Atlantic mackerel Gulf of Maine / Cape Hatteras,1960,NA,NA,NA,NA,TB
Atlantic mackerel Gulf of Maine / Cape Hatteras,1961,NA,NA,NA,NA,TB
Atlantic mackerel Gulf of Maine / Cape Hatteras,1962,445714,51986,618023,618023,TB
Atlantic mackerel Gulf of Maine / Cape Hatteras,1963,343784,19788,433592,433592,TB
Atlantic mackerel Gulf of Maine / Cape Hatteras,1964,404088,27219,484520,484520,TB
Atlantic mackerel Gulf of Maine / Cape Hatteras,1965,394058,69620,514942,514942,TB
Atlantic mackerel Gulf of Maine / Cape Hatteras,1966,295232,189835,542821,542821,TB
Atlantic mackerel Gulf of Maine / Cape Hatteras,1967,404125,559734,1063859,1063859,TB
Atlantic mackerel Gulf of Maine / Cape Hatteras,1968,621365,1658595,2583560,2583560,TB
Atlantic mackerel Gulf of Maine / Cape Hatteras,1969,1201398,605944,2689732,2689732,TB
Atlantic mackerel Gulf of Maine / Cape Hatteras,1970,1355740,501671,2426562,2426562,TB
Atlantic mackerel Gulf of Maine / Cape Hatteras,1971,1305505,287874,2201931,2201931,TB
Atlantic mackerel Gulf of Maine / Cape Hatteras,1972,1359003,343931,2249317,2249317,TB
Atlantic mackerel Gulf of Maine / Cape Hatteras,1973,930770,268612,1683753,1683753,TB
Atlantic mackerel Gulf of Maine / Cape Hatteras,1974,750574,358620,1496353,1496353,TB
Atlantic mackerel Gulf of Maine / Cape Hatteras,1975,541615,278902,1167534,1167534,TB
Atlantic mackerel Gulf of Maine / Cape Hatteras,1976,459471,47360,815729,815729,TB
Atlantic mackerel Gulf of Maine / Cape Hatteras,1977,375615,13470,511782,511782,TB
Atlantic mackerel Gulf of Maine / Cape Hatteras,1978,463505,10916,550380,550380,TB
Atlantic mackerel Gulf of Maine / Cape Hatteras,1979,369525,70933,492543,492543,TB
Atlantic mackerel Gulf of Maine / Cape Hatteras,1980,305398,11293,400989,400989,TB
Atlantic mackerel Gulf of Maine / Cape Hatteras,1981,224443,22059,293499,293499,TB
Atlantic mackerel Gulf of Maine / Cape Hatteras,1982,185217,150764,373121,373121,TB
Atlantic mackerel Gulf of Maine / Cape Hatteras,1983,259464,390614,732806,732806,TB
Atlantic mackerel Gulf of Maine / Cape Hatteras,1984,406264,20687,682966,682966,TB
Atlantic mackerel Gulf of Maine / Cape Hatteras,1985,507173,37123,694420,694420,TB
Atlantic mackerel Gulf of Maine / Cape Hatteras,1986,425270,29092,559597,559597,TB
Atlantic mackerel Gulf of Maine / Cape Hatteras,1987,329843,34524,452964,452964,TB
Atlantic mackerel Gulf of Maine / Cape Hatteras,1988,286109,95838,470028,470028,TB
Atlantic mackerel Gulf of Maine / Cape Hatteras,1989,390982,171311,693149,693149,TB
Atlantic mackerel Gulf of Maine / Cape Hatteras,1990,327768,30138,499964,499964,TB
Atlantic mackerel Gulf of Maine / Cape Hatteras,1991,350700,82151,535885,535885,TB
Atlantic mackerel Gulf of Maine / Cape Hatteras,1992,321342,73506,478652,478652,TB
Atlantic mackerel Gulf of Maine / Cape Hatteras,1993,261715,10473,348022,348022,TB
Atlantic mackerel Gulf of Maine / Cape Hatteras,1994,171961,46014,253948,253948,TB
Atlantic mackerel Gulf of Maine / Cape Hatteras,1995,156064,73524,276475,276475,TB
Atlantic mackerel Gulf of Maine / Cape Hatteras,1996,142620,58596,266266,266266,TB
Atlantic mackerel Gulf of Maine / Cape Hatteras,1997,144822,111380,311888,311888,TB
Atlantic mackerel Gulf of Maine / Cape Hatteras,1998,125924,34738,233298,233298,TB
Atlantic mackerel Gulf of Maine / Cape Hatteras,1999,125695,66593,241223,241223,TB
Atlantic mackerel Gulf of Maine / Cape Hatteras,2000,155347,594728,752133,752133,TB
Atlantic mackerel Gulf of Maine / Cape Hatteras,2001,312785,51526,640075,640075,TB
Atlantic mackerel Gulf of Maine / Cape Hatteras,2002,354499,38692,519984,519984,TB
Atlantic mackerel Gulf of Maine / Cape Hatteras,2003,279829,89594,460052,460052,TB
Atlantic mackerel Gulf of Maine / Cape Hatteras,2004,221888,203799,532492,532492,TB
Atlantic mackerel Gulf of Maine / Cape Hatteras,2005,208731,41430,403693,403693,TB
Atlantic mackerel Gulf of Maine / Cape Hatteras,2006,135707,134953,367547,367547,TB
Atlantic mackerel Gulf of Maine / Cape Hatteras,2007,113307,27279,246355,246355,TB
Atlantic mackerel Gulf of Maine / Cape Hatteras,2008,96968,52573,199805,199805,TB
