"stocklong","region","area","location","pred_comm","pred_species","reference","year","n","n_units","notes"
"Black-legged kittiwake Isle of May (nests, completed)","Europe","Scotland","Isle of May","Black-legged kittiwake","Rissa tridactyla","Frederiksen et al 2004 Figure 1",1989,7569.0146,"nests, completed",NA
"Black-legged kittiwake Isle of May (nests, completed)","Europe","Scotland","Isle of May","Black-legged kittiwake","Rissa tridactyla","Frederiksen et al 2004 Figure 1",1990,8160.562,"nests, completed",NA
"Black-legged kittiwake Isle of May (nests, completed)","Europe","Scotland","Isle of May","Black-legged kittiwake","Rissa tridactyla","Frederiksen et al 2004 Figure 1",1991,6574.8623,"nests, completed",NA
"Black-legged kittiwake Isle of May (nests, completed)","Europe","Scotland","Isle of May","Black-legged kittiwake","Rissa tridactyla","Frederiksen et al 2004 Figure 1",1992,6945.0566,"nests, completed",NA
"Black-legged kittiwake Isle of May (nests, completed)","Europe","Scotland","Isle of May","Black-legged kittiwake","Rissa tridactyla","Frederiksen et al 2004 Figure 1",1993,7019.942,"nests, completed",NA
"Black-legged kittiwake Isle of May (nests, completed)","Europe","Scotland","Isle of May","Black-legged kittiwake","Rissa tridactyla","Frederiksen et al 2004 Figure 1",1994,3792.4165,"nests, completed",NA
"Black-legged kittiwake Isle of May (nests, completed)","Europe","Scotland","Isle of May","Black-legged kittiwake","Rissa tridactyla","Frederiksen et al 2004 Figure 1",1995,7631.075,"nests, completed",NA
"Black-legged kittiwake Isle of May (nests, completed)","Europe","Scotland","Isle of May","Black-legged kittiwake","Rissa tridactyla","Frederiksen et al 2004 Figure 1",1996,6303.732,"nests, completed",NA
"Black-legged kittiwake Isle of May (nests, completed)","Europe","Scotland","Isle of May","Black-legged kittiwake","Rissa tridactyla","Frederiksen et al 2004 Figure 1",1997,6563.224,"nests, completed",NA
"Black-legged kittiwake Isle of May (nests, completed)","Europe","Scotland","Isle of May","Black-legged kittiwake","Rissa tridactyla","Frederiksen et al 2004 Figure 1",1998,4368.8164,"nests, completed",NA
